,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5000145049338982,0.4999854950661018,0.0,complete,False,True,0.3,23.0,253.0,177.0,76.0,cx,1.0,10.0,True,False,529.0,529.0,1150.0444595813751,132395.0,21859.0,110536.0,130250193.0,1150.0624635219574,2024-11-12 20:01:40.313208
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1.0,0.0,1.0,,0.0,126.5,126.5,0.0,False,False,True,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.541501976284585,0.45849802371541504,0.08300395256916995,1.1810344827586208,0.8467153284671532,1770.9999999999998,958.9999999999999,811.9999999999999,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.5106342932429889,0.48936570675701113,0.021268586485977792,1.0434615384615384,0.9583486914854404,26565.0,13565.0,13000.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.504175458408868,0.495824541591132,0.008350916817736018,1.0168424838168304,0.9834364868847627,403787.99999999994,203579.99999999997,200207.99999999997,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.5011983185896234,0.4988016814103766,0.002396637179246767,1.0048047896961179,0.995218185914927,6056820.0,3035668.000000003,3021151.999999997,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.5003544667294845,0.49964553327051553,0.0007089334589689524,1.001418872804343,0.9985831375432644,88256520.0,44159544.00000008,44096975.99999992,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.5001109946324511,0.4998890053675489,0.00022198926490234845,1.0004440771101557,0.9995561200067888,1235591280.0,617932783.9999834,617658496.0000166,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5000372938857406,0.49996270611425947,7.458777148107299e-05,1.0001491866704635,0.9998508355828792,16474550400.044401,8237889600.022447,8236660800.021955,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.5000119327484867,0.4999880672515134,2.3865496973187594e-05,1.0000477321330976,0.9999522701451502,207579335028.04614,103792144506.01898,103787190522.02716,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
