,Unnamed: 0,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5003038196879848,0.4996961803120151,0.0,complete,False,True,0.3,11.0,55.0,39.0,16.0,cx,1000.0,10.0,False,False,121.0,121.0,655.3392796516418,830900.0,795696.0,35204.0,130250193.0,655.6093406677246,2024-11-13 03:05:03.073754
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.5634666666666699,0.4365333333333306,0.1269333333333337,1.3080039762170137,0.7830045010633265,120.0,67.61599999999999,52.384,False,False,False,0.0379661252522121,0.0379661252522122,0.0759322505044245,0.1989074561208899,0.1231560841766495,0.0,4.555935030265452,4.555935030265452,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.5430984126984126,0.4569015873015882,0.0861968253968233,1.1920265839718065,0.8432749551124468,630.0,342.152,287.84800000000007,False,False,False,0.0178638009457049,0.0178638009457049,0.0357276018914097,0.0862891021165803,0.0604685146254374,0.0,11.2541945957941,11.2541945957941,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5098677248677236,0.4901322751322764,0.0197354497354488,1.0412734156727022,0.9622029191385244,3023.9999999999995,1541.8399999999997,1482.16,False,False,False,0.0109335138978956,0.0109335138978956,0.0218670277957912,0.0451907694269361,0.0424412516004832,1.3642420526593924e-12,33.06294602723637,33.06294602723632,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.5014577777777794,0.4985422222222205,0.0029155555555554,1.005983111156579,0.9943164530592123,12599.999999999874,6318.367999999938,6281.631999999939,False,False,False,0.004073345394878,0.004073345394878,0.0081466907897561,0.0165171970077925,0.0160798861322423,1.8189894035458562e-10,51.32415197546214,51.324151975462165,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5004437037037119,0.499556296296288,0.0008874074074146,1.001834746397977,0.9982841028750284,43200.00000000744,21619.168000003745,21580.832000003666,False,False,False,0.0026888683806989,0.0026888683806989,0.0053777367613978,0.0108420253828623,0.0106730890831467,1.6007106751203534e-10,116.1591140462136,116.15911404621365,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.500517248677224,0.4994827513227759,0.0010344973544471,1.0020937806635235,0.9979552529451892,113399.99999992907,56758.6559999626,56641.34399996898,False,False,False,0.001672317475182,0.001672317475182,0.0033446349503641,0.0067631004149125,0.0066173210003156,1.8480932340025902e-09,189.64080168553352,189.64080168553355,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.5001590476190778,0.4998409523809221,0.0003180952381547,1.0006704711897807,0.99939794231326,201600.00000012663,100832.06400006932,100767.93600005744,False,False,False,0.0020616475028078,0.0020616475028078,0.0041232950056157,0.0082622560116905,0.0082316583196727,2.9103830456733704e-11,415.6281365663288,415.62813656632864,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.4998680776013692,0.5001319223986308,-0.0002638447972615,0.9995042121440466,1.000559813065164,181440.00000119,90696.06400058608,90743.93600060156,False,False,False,0.0019960059531246,0.0019960059531246,0.0039920119062492,0.0079586524927925,0.0080099650227997,2.211891114711761e-09,362.1553201372981,362.1553201372983,,,,,,,,,,,,,,,,,,,,,,,,,
