,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5470756491742828,0.4529243508257172,0.0,complete,False,True,0.1,13.0,78.0,70.0,8.0,cx,1000.0,10.0,False,False,169.0,169.0,653.1387851238251,841164.0,795712.0,45452.0,130250193.0,653.4088456630707,2024-11-13 03:15:59.975386
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.7686333333333322,0.23136666666666694,0.5372666666666659,3.861735375670375,0.31224304902233885,119.99999999999999,92.23599999999999,27.764,False,False,False,0.07189899551145042,0.0718989955114504,0.14379799102290075,2.117075306794869,0.12080643084167927,0.0,8.62787946137405,8.62787946137405,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.7103809523809532,0.2896190476190484,0.4207619047619032,2.8027089212261638,0.4258597758796036,630.0,447.54,182.46,False,False,False,0.08189633892951499,0.08189633892951498,0.16379267785902993,1.519639091719633,0.15913936902466155,0.0,51.59469352559448,51.59469352559449,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.6646164021164018,0.33538359788359867,0.32923280423280366,2.2117858249717957,0.5269015253735854,3023.9999999999995,2009.7999999999997,1014.2,False,False,False,0.08372120930632304,0.08372120930632299,0.16744241861264605,1.1468575681789894,0.17895033458317686,1.3642420526593924e-12,253.17293694232055,253.17293694232058,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.623950476190481,0.37604952380951917,0.24790095238096194,1.8181542830656523,0.6288930054291684,12599.999999999874,7861.775999999958,4738.223999999908,False,False,False,0.08423958613627884,0.08423958613627881,0.16847917227255763,0.9025647785569735,0.1968343795621988,1.8189894035458565e-10,1061.4187853170854,1061.4187853170865,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.5904177777777901,0.4095822222222101,0.18083555555558103,1.5511441500299412,0.7216517944573752,43200.000000007436,25506.04800000463,17693.952000002417,False,False,False,0.08186881977302907,0.0818688197730291,0.16373763954605808,0.724327453935135,0.20474261239110705,1.6007106751203537e-10,3536.733014195458,3536.7330141954594,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.5632203174602419,0.4367796825397586,0.12644063492048457,1.3642167787475687,0.8031177569714169,113399.99999992907,63869.18399995255,49530.81599997833,False,False,False,0.07765984460541249,0.07765984460541245,0.15531968921082492,0.5884131810082196,0.20398040199136053,1.8480932340025902e-09,8806.626378248402,8806.626378248404,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5415847619048861,0.45841523809511375,0.08316952380977137,1.2314585825034055,0.872335389972267,201600.00000012666,109183.48800009355,92416.51200003317,False,False,False,0.0726367333384566,0.07263673333845663,0.14527346667691318,0.4822299183729332,0.1972993121048789,2.9103830456733704e-11,14643.565441042054,14643.56544104206,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.5247555555555592,0.47524444444444053,0.04951111111111858,1.1371493283319725,0.9294646134491471,181440.00000118997,95211.64800062406,86228.35200056375,False,False,False,0.06783569605676712,0.06783569605676712,0.13567139211353424,0.3989846303653275,0.18905776509502076,2.2118911147117615e-09,12308.108692620403,12308.108692620404,,,,,,,,,,,,,,,,,,,,,,,,,
