,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5000012890396732,0.4999987109603267,0.0,complete,False,True,0.3,18.0,153.0,107.0,46.0,cx,1.0,10.0,True,False,324.0,324.0,91.72592520713806,87578.0,19228.0,68350.0,130250193.0,91.74192976951599,2024-11-12 17:46:43.761289
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1.0,0.0,1.0,,0.0,76.5,76.5,0.0,False,False,True,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.5343137254901961,0.46568627450980393,0.06862745098039215,1.1473684210526316,0.8715596330275229,815.9999999999999,435.99999999999994,379.99999999999994,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.5128540305010894,0.4871459694989107,0.0257080610021786,1.052772808586762,0.9498725573491928,9180.0,4708.0,4472.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.5042794895736069,0.49572051042639304,0.008558979147213857,1.017265735363364,0.9830273106002171,102815.99999999999,51847.99999999996,50968.00000000002,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.5010773540185305,0.4989226459814695,0.0021547080370610565,1.004318721658389,0.9956998494947322,1113839.999999549,558119.999999774,555719.999999775,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.500145243282501,0.49985475671749896,0.0002904865650020361,1.0005811419439312,0.9994191955858751,11456640.000000007,5729984.000000036,5726655.999999971,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.4999933980325971,0.5000066019674029,-1.3203934805838671e-05,0.9999735924790716,1.000026408218304,110270159.99999979,55134351.99999806,55135808.00000173,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.4999997388232857,0.5000002611767144,-5.223534286528814e-07,0.9999989552936884,1.000001044707403,980179200.0029433,490089344.00148875,490089856.00145453,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.5000011527244428,0.49999884727555716,2.305448885624725e-06,1.0000046109084015,0.9999953891128589,7939451520.038816,3969734912.019238,3969716608.0195785,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
