,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,alg,exact,n_samples,n_nodes,n_edges,directed_graph,alg_run_time,alg_peak_mem,alg_only_mem,before_alg_mem,matrix_mem,script_run_time,exp_date,seed
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5001918039553036,0.49980819604469645,1.0,er,cx,False,10.0,50.0,1225.0,True,7.140169143676758,453491.0,25385.0,428106.0,2500.0,7.434637069702148,2024-11-04 21:53:12.010622,4259459283.0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2,2,1.0,0.0,1.0,0.0,0.0,45.0,45.0,0.0,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
3,3,0.5116666666666666,0.4883333333333334,0.023333333333333324,1.060110674765847,0.9654973768588568,239.99999999999994,122.79999999999998,117.2,False,False,False,0.03804237403504441,0.03804237403504441,0.07608474807008883,0.15859872500920233,0.14957386758155922,2.842170943040401e-14,9.130169768410656,9.13016976841066,,,,,,,,,,,,,,,,,,
4,4,0.5019047619047619,0.4980952380952381,0.003809523809523928,1.008700932271666,0.9933766706848013,1260.0,632.4,627.6,False,False,False,0.011219426696553805,0.011219426696553805,0.02243885339310765,0.046754678585561905,0.043265312586098906,0.0,14.136477637657796,14.136477637657796,,,,,,,,,,,,,,,,,,
5,5,0.49854497354497357,0.5014550264550264,-0.0029100529100527877,0.9948589785261289,1.0064885378657609,6047.999999999983,3015.1999999999916,3032.79999999999,False,False,False,0.009057708103582217,0.009057708103582236,0.018115416207164465,0.036665809535565586,0.0358608775668949,9.094947017729282e-13,54.78101861046515,54.78101861046515,,,,,,,,,,,,,,,,,,
6,6,0.49685714285714233,0.5031428571428577,-0.006285714285715285,0.9875672909608006,1.0127134882595636,25200.00000000092,12520.800000000443,12679.200000000474,False,False,False,0.0027691930837514945,0.0027691930837515037,0.0055383861675029865,0.01093675054244416,0.011221185294699104,3.637978807091713e-12,69.78366571054026,69.78366571054026,,,,,,,,,,,,,,,,,,
7,7,0.4995185185185192,0.5004814814814809,-0.0009629629629617102,0.9981078779154785,1.00195994454922,86400.00000001081,43158.40000000545,43241.60000000535,False,False,False,0.002001713943240183,0.002001713943240175,0.0040034278864803765,0.007988730120726609,0.00802606699519568,1.4551915228366852e-11,172.948084695973,172.948084695973,,,,,,,,,,,,,,,,,,
8,8,0.5004867724867613,0.4995132275132387,0.0009735449735224584,1.0019574243567162,0.9980631879887015,226799.99999996735,113510.39999998109,113289.59999998624,False,False,False,0.001025333180899881,0.0010253331808998815,0.0020506663617997473,0.004110267306902711,0.004092513509509422,0.0,232.5455654280588,232.54556542805878,,,,,,,,,,,,,,,,,,
9,9,0.5004603174603199,0.49953968253968,0.0009206349206399364,1.0018460570569336,0.9981634970388645,403199.99999887444,201785.5999994377,201414.39999943672,False,False,False,0.0006206734855933101,0.0006206734855933013,0.001241346971186632,0.002487356898976973,0.0024780607954822983,0.0,250.25554939052154,250.25554939052154,,,,,,,,,,,,,,,,,,
10,10,0.5000529100528791,0.49994708994712084,0.00010582010575826188,1.0002140550137253,0.9997907725367465,362880.00000462646,181459.2000023023,181420.80000232422,False,False,False,0.0005467372133991901,0.0005467372133991995,0.0010934744267983815,0.002187662232663089,0.002186251046164403,5.820766091346741e-11,198.40000000083117,198.40000000083117,,,,,,,,,,,,,,,,,,
