,l,k_pos_bal,k_neg_bal,avg_pos_k_bal,avg_neg_k_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_k_bal,std_pos_k_bal_perc,std_neg_k_bal,std_neg_k_bal_perc,std_rel_signed_clust_coeff,std_rel_signed_clust_coeff_perc,std_pos_to_neg_ratio,std_pos_to_neg_ratio_perc,std_neg_to_pos_ratio,std_neg_to_pos_ratio_perc,std_total,std_total_perc,std_pos,std_pos_perc,std_neg,std_neg_perc,avg_of_all_pos_k_balance,avg_of_all_neg_k_balance,pos_degree_of_bal,neg_degree_of_bal,pos_weighted_1_k_bal,neg_weighted_1_k_bal,pos_weighted_1_k_2_bal,neg_weighted_1_k_2_bal,pos_weighted_1_k_3_bal,neg_weighted_1_k_3_bal,pos_weighted_1_k_4_bal,neg_weighted_1_k_4_bal,pos_weighted_1_k_fac_bal,neg_weighted_1_k_fac_bal,run,kind,null_model,cow_year,directed,dataset,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0.0,0.0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5607407407407363,0.43925925925926984,0.7036363636363628,0.29636363636363827,0.7159234718627465,0.2840765281372543,0.7272903860007834,0.2727096139992172,0.7375705247026663,0.2624294752973343,0.7466817094317928,0.25331829056820765,0.7689982832785733,0.23100171672142675,0.0,dataset,True,1870,False,cow,False,0.5238095238095238,22.0,29.0,13.0,16.0,cx,20.0,10.0,False,False,484.0,484.0,3.1543009281158447,90024.0,37104.0,52920.0,130250193.0,3.6252281665802,2024-12-08 17:16:35.479268
1,1,0.0,0.0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0.0,0.0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.7619047619047621,0.2380952380952379,0.7933333333333336,0.20666666666666647,0.5866666666666669,2.208333333333336,0.34166666666666623,3.15,2.4000000000000004,0.7499999999999993,False,False,False,0.18777942142607387,0.2366967496967317,0.1877794214260739,0.908610103674552,0.37555884285214797,0.6401571184979793,1.0299339245256909,0.4663851733701236,0.35049568074688436,1.0258410168201506,1.1521718621802906,0.3657688451366002,0.8602325267042624,0.3584302194601093,0.6982120021884464,0.9309493362512626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.4545454545454521,0.5454545454545485,0.4841269841269819,0.5158730158730193,-0.031746031746037094,0.6458333333333254,1.102564102564121,2.199999999999987,0.9999999999999887,1.1999999999999995,False,False,False,0.3013783737467867,0.622519263804841,0.30137837374678866,0.5842103860322326,0.6027567474935775,18.986837546044494,0.36024200970396825,0.5577940795416352,0.7324541977992838,0.6643189235853858,1.9899748742132326,0.904534033733293,0.8944271909999095,0.8944271909999196,1.2489995996796792,1.0408329997330665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.41666666666664337,0.5833333333333665,0.4047619047618934,0.5952380952381237,-0.1904761904762198,0.5833333333332745,1.000000000000067,0.5999999999999834,0.24999999999997913,0.3500000000000102,False,False,False,0.3194382824999679,0.7892004626470017,0.3194382824999864,0.5366563145999516,0.6388765649999842,3.354101966249401,0.4487637339278196,0.769309258162054,0.6324555320336684,0.632455532033626,0.9165151389911669,1.527525231651987,0.43301270189218305,1.7320508075688767,0.572276157113004,1.635074734608535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.0,0.0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.0,0.0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.0,0.0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.0,0.0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.0,0.0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
