,Unnamed: 0,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5004068977486119,0.499593102251388,0.0,complete,False,0.5,10.0,45.0,24.0,21.0,cx,1.0,10.0,True,False,100.0,100.0,1.5828659534454346,56925.0,16823.0,40102.0,130250193.0,1.634613037109375,2024-11-10 23:25:00.569962
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,1.0,0.0,1.0,,0.0,22.5,22.5,0.0,False,False,True,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.5,0.5,-1.8503717077085946e-18,1.0,1.0,120.0,59.99999999999999,59.99999999999999,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4603174603174604,0.5396825396825395,-0.0793650793650792,0.8529411764705885,1.172413793103448,630.0,290.00000000000006,339.99999999999994,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5000000000000001,0.4999999999999999,1.7387619856563351e-16,1.0000000000000002,0.9999999999999996,3023.999999999991,1511.9999999999957,1511.9999999999952,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.5092063492063473,0.4907936507936527,0.0184126984126945,1.037516170763252,0.9638403990025012,12600.000000000458,6416.000000000209,6184.000000000249,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5000000000000002,0.4999999999999998,3.421131690696351e-16,1.0000000000000009,0.9999999999999992,43200.0000000054,21600.000000002707,21600.00000000269,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.4985537918871168,0.5014462081128832,-0.0028924162257664,0.9942318514349692,1.00580161313149,113399.99999998367,56535.999999990905,56863.99999999277,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.4999999999999993,0.5000000000000008,-1.4117807452225212e-15,0.9999999999999972,1.0000000000000029,201599.9999994372,100799.99999971846,100799.99999971876,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5015873015872696,0.4984126984127304,0.0031746031745391,1.0063694267514631,0.9936708860760768,181440.0000023133,91008.00000115448,90432.00000115875,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
