,l,pos_k_bal,neg_k_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,avg_pos_k_balance,avg_neg_k_balance,pos_degree_of_bal,neg_degree_of_bal,pos_weighted_1_k_bal,neg_weighted_1_k_bal,pos_weighted_1_k_2_bal,neg_weighted_1_k_2_bal,pos_weighted_1_k_3_bal,neg_weighted_1_k_3_bal,pos_weighted_1_k_4_bal,neg_weighted_1_k_4_bal,pos_weighted_1_k_fac_bal,neg_weighted_1_k_fac_bal,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,complete,False,False,0.0,12.0,66.0,66.0,0.0,pyr,1000.0,,6.18968391418457,70845.0,14508.0,56337.0,130250193.0,8.756694078445435,2024-12-09 09:08:44.296887
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,1.0,0.0,1.0,,0.0,220.24000000002312,220.24000000002312,0.0,False,False,True,13765,13765,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,1.0,0.0,1.0,,0.0,1482.4079999997286,1482.4079999997286,0.0,False,False,True,13726,13726,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,1.0,0.0,1.0,,0.0,9439.85663999883,9439.85663999883,0.0,False,False,True,11381,11381,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,1.0,0.0,1.0,,0.0,55724.54400000884,55724.54400000884,0.0,False,False,True,8062,8062,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,1.0,0.0,1.0,,0.0,288482.617469371,288482.617469371,0.0,False,False,True,4734,4734,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,1.0,0.0,1.0,,0.0,1275948.2879999958,1275948.2879999958,0.0,False,False,True,2279,2279,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,1.0,0.0,1.0,,0.0,4347592.704000004,4347592.704000004,0.0,False,False,True,819,819,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,1.0,0.0,1.0,,0.0,10577549.721599985,10577549.721599985,0.0,False,False,True,205,205,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,1.0,0.0,1.0,,0.0,14327985.109685954,14327985.109685954,0.0,False,False,True,28,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,1.0,0.0,1.0,,0.0,5159780.351999997,5159780.351999997,0.0,False,False,True,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
