,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,directed,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5000079134697965,0.49999208653020355,0.0,complete,0.5,20.0,190.0,94.0,96.0,cx,20.0,10.0,False,False,False,400.0,400.0,17.676018238067627,125712.0,37221.0,88491.0,130250193.0,17.873375177383423,2024-11-08 21:40:05.316631
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.49416666666666664,0.5058333333333332,-0.011666666666666664,0.9836248629630162,1.0304775167052695,119.99999999999997,59.29999999999999,60.69999999999999,False,False,False,0.02899952106884218,0.02899952106884218,0.057999042137684365,0.11690689605625305,0.11727599288395163,1.4210854715202004e-14,3.479942528261062,3.479942528261061,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.4871428571428572,0.5128571428571428,-0.02571428571428558,0.9506645793855366,1.053723742619542,630.0,306.90000000000003,323.09999999999997,False,False,False,0.010407422201768568,0.010407422201768572,0.020814844403537137,0.03962322092557627,0.04391043402925473,0.0,6.556675987114197,6.556675987114197,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.502314814814815,0.497685185185185,0.004629629629629914,1.0097495459573336,0.9912181793817061,3023.999999999992,1518.999999999996,1504.9999999999952,False,False,False,0.007422450239624445,0.007422450239624444,0.014844900479248871,0.029990036396648996,0.029426253213368274,9.094947017729282e-13,22.445489524624236,22.445489524624236,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.49966666666666504,0.5003333333333351,-0.0006666666666697504,0.998742586329979,1.0014090801890627,12600.000000000462,6295.80000000021,6304.200000000249,False,False,False,0.0030606121836609834,0.00306061218366099,0.006121224367321949,0.012265949117432721,0.01222119876280942,3.637978807091713e-12,38.56371351412972,38.56371351412972,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.49961111111111156,0.5003888888888883,-0.0007777777777766966,0.9984711857518374,1.001582259057688,43200.00000000539,21583.200000002722,21616.800000002677,False,False,False,0.0017857652354093631,0.001785765235409366,0.0035715304708187454,0.007154483427800038,0.007132258885703884,7.275957614183426e-12,77.14505816969435,77.14505816969435,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.5005784832451396,0.4994215167548604,0.0011569664902792618,1.0023220785522906,0.997694177933603,113399.99999998367,56765.59999999066,56634.39999999302,False,False,False,0.0008254571195503782,0.000825457119550381,0.0016509142391007627,0.0033066615258973402,0.0032970611399976944,0.0,93.60683735699982,93.60683735699985,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5000079365079338,0.4999920634920662,1.587301586782273e-05,1.000036009728412,0.9999725163915457,201599.99999943713,100801.59999971809,100798.39999971913,False,False,False,0.0007299430323204751,0.0007299430323204745,0.0014598860646409478,0.0029201807880507216,0.002919401218115034,8.731149137020111e-11,147.15651531539734,147.15651531539734,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.4997795414461952,0.5002204585538049,-0.0004409171076099347,0.9991225003842995,1.0008861842544887,181440.0000023133,90680.00000115375,90760.0000011595,False,False,False,0.0007029828383440984,0.0007029828383441091,0.001405965676688219,0.002807819794283265,0.00281607786610243,2.9103830456733704e-11,127.54920619077987,127.54920619077987,,,,,,,,,,,,,,,,,,,,,,,,
