,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.6276520648393755,0.37234793516062403,0.0,complete,0.5,20.0,190.0,94.0,96.0,pyr,1000.0,1.0,3.6797728538513184,109418.0,30135.0,79283.0,130250193.0,3.8330390453338623,2024-11-08 21:40:06.816180
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,
3,3,0.49878659777673484,0.5012134022232667,-0.0024268044465318474,0.9951581413510351,1.0048654163069917,1135.4666666666665,566.3555555555564,569.1111111111118,False,False,False,25548,12743,12805,,,,,,,,,,,,,,,,,,,
4,4,0.5011944742582142,0.498805525741785,0.0023889485164291418,1.0047893385160007,0.9952334899143394,14441.500000003583,7238.000000001795,7203.500000001775,False,False,False,28883,14476,14407,,,,,,,,,,,,,,,,,,,
5,5,0.5011066537557056,0.49889334624429493,0.0022133075114106364,1.0044364342159955,0.9955831608005555,185062.39999998297,92735.99999999136,92326.39999999171,False,False,False,28916,14490,14426,,,,,,,,,,,,,,,,,,,
6,6,0.4947189885128329,0.5052810114871652,-0.010562022974332232,0.9790967348184219,1.0213495402836317,2305955.5555562694,1140800.0000003453,1165155.5555559197,False,False,False,25942,12834,13108,,,,,,,,,,,,,,,,,,,
7,7,0.5046794901942294,0.4953205098057698,0.009358980388459667,1.0188947968097053,0.9814555959370217,27772081.6326524,14015999.999999536,13756081.632652842,False,False,False,21263,10731,10532,,,,,,,,,,,,,,,,,,,
8,8,0.5020426120294138,0.497957387970586,0.004085224058827903,1.0082039631452746,0.9918627941912855,318219999.9999619,159759999.99998096,158459999.9999809,False,False,False,15911,7988,7923,,,,,,,,,,,,,,,,,,,
9,9,0.49724324829455097,0.5027567517054481,-0.005513503410897063,0.9890334572490689,1.01108814132682,3382044444.4447684,1681698765.4322567,1700345679.0125084,False,False,False,10701,5321,5380,,,,,,,,,,,,,,,,,,,
10,10,0.4985202722699035,0.5014797277300987,-0.0029594554601952536,0.9940985541457659,1.005936479667557,34600959999.998245,17249279999.999165,17351679999.999157,False,False,False,6758,3369,3389,,,,,,,,,,,,,,,,,,,
11,11,0.5013123359580057,0.49868766404199705,0.0026246719160087167,1.0052631578947333,0.9947643979057628,322433057851.24835,161639669421.49213,160793388429.75714,False,False,False,3810,1910,1900,,,,,,,,,,,,,,,,,,,
12,12,0.49658074697527604,0.5034192530247249,-0.006838506049448914,0.9864158829676046,1.0137711864406804,2703644444444.452,1342577777777.7812,1361066666666.6736,False,False,False,1901,944,957,,,,,,,,,,,,,,,,,,,
13,13,0.4988479262672806,0.5011520737327185,-0.0023041474654378847,0.9954022988505745,1.004618937644342,21037443786981.938,10494485207100.426,10542958579881.492,False,False,False,868,433,435,,,,,,,,,,,,,,,,,,,
14,14,0.48961424332344156,0.5103857566765578,-0.020771513353116236,0.9593023255813944,1.0424242424242436,140852244897958.16,68963265306121.87,71888979591836.2,False,False,False,337,165,172,,,,,,,,,,,,,,,,,,,
15,15,0.5752212389380538,0.4247787610619474,0.15044247787610635,1.3541666666666665,0.7384615384615385,822840888888873.8,473315555555547.4,349525333333327.3,False,False,False,113,65,48,,,,,,,,,,,,,,,,,,,
16,16,0.3529411764705887,0.6470588235294131,-0.2941176470588244,0.545454545454545,1.8333333333333348,4351999999999923.5,1535999999999975.0,2815999999999956.5,False,False,False,34,12,22,,,,,,,,,,,,,,,,,,,
17,17,0.5,0.4999999999999975,2.498881022135457e-15,1.000000000000005,0.999999999999995,2.721217993079541e+16,1.3606089965397704e+16,1.3606089965397636e+16,False,False,False,12,6,6,,,,,,,,,,,,,,,,,,,
18,18,0.6666666666666643,0.3333333333333354,0.3333333333333289,1.9999999999999802,0.500000000000005,1.2136296296296152e+17,8.09086419753074e+16,4.04543209876541e+16,False,False,False,3,2,1,,,,,,,,,,,,,,,,,,,
19,19,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,
20,20,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,
