,Unnamed: 0,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,prob_p,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5009671179878932,0.4990328820121069,0.0,er,False,0.5,0.5,10.0,21.0,8.0,13.0,cx,20.0,10.0,False,False,100.0,100.0,22.771064043045044,67663.0,38000.0,29663.0,130250193.0,22.82156801223755,2024-11-10 23:12:56.997833
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.3000000000000001,0.6999999999999995,-0.3999999999999995,0.428571428571429,2.33333333333333,9.999999999999996,3.000000000000001,6.999999999999997,False,False,False,1.2098374922832816e-16,2.7194799110210365e-16,1.5798750608595155e-16,1.9068706655153886e-16,1.2481988174211264e-15,1.3759600911837629e-15,1.031970068387822e-15,3.011959563148489e-15,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.7894736842105258,0.2105263157894741,0.5789473684210519,3.749999999999992,0.2666666666666673,18.99999999999998,14.999999999999972,4.000000000000002,False,False,False,4.523392502223303e-16,4.3661029064309583e-16,8.588994154719671e-16,9.791638385290723e-15,6.899926682599784e-16,1.7549111014472585e-14,1.853720071408498e-14,7.171731382337878e-15,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.2291666666666652,0.7708333333333348,-0.5416666666666696,0.2972972972972947,3.363636363636392,48.00000000000032,11.000000000000004,37.00000000000032,False,False,False,2.688983887272228e-15,2.6944360297401985e-15,5.3758759772048505e-15,4.527290885921863e-15,5.1213807137191014e-14,2.37676279587414e-13,1.503814852777191e-13,2.0036801211079557e-13,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.7045454545454529,0.2954545454545472,0.4090909090909058,2.384615384615366,0.4193548387096807,87.9999999999939,61.999999999995566,25.999999999998344,False,False,False,1.2286663206943092e-14,1.228319541569332e-14,2.4587924873357508e-14,1.407036585095854e-13,2.4750579155739796e-14,2.0781206841591387e-12,2.0532257027354557e-12,1.0801873892992468e-12,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.348214285714259,0.6517857142857411,-0.303571428571482,0.5342465753424028,1.871794871795092,112.00000000003548,39.00000000000936,73.0000000000261,False,False,False,4.5259462378334424e-14,4.524724118319489e-14,9.05256096001597e-14,1.0653429064098629e-13,3.73262961241234e-13,1.3612386279171119e-11,7.732052462462582e-12,9.092386482995998e-12,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.7565217391304125,0.2434782608695874,0.5130434782608251,3.1071428571424824,0.3218390804598088,114.99999999985783,86.9999999998899,27.999999999967947,False,False,False,2.8513815059305293e-13,2.851344096580192e-13,5.702634720524447e-13,4.809827197657606e-12,4.98205464452163e-13,8.641300587347732e-11,6.955856484069105e-11,4.101453801664757e-11,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.155555555556322,0.8444444444436779,-0.6888888888873559,0.1842105263168643,5.428571428539754,90.00000000036266,14.000000000125391,76.00000000023726,False,False,False,1.6148355313961226e-12,1.6148172118055205e-12,3.2296626440478584e-12,2.2645675606075458e-12,6.673554116558443e-11,3.8445013555853663e-10,1.9284377273192284e-10,2.42312246874438e-10,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.7999999999990121,0.2000000000009879,0.599999999998024,3.9999999999753,0.2500000000015437,34.99999999960034,27.999999999645684,6.999999999954648,False,False,False,9.97735914910955e-12,9.977352181045362e-12,1.9954695991718035e-11,2.4943374779744234e-10,1.55896106829183e-11,9.31185126340734e-10,5.36439247890332e-10,5.038963476653666e-10,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.4983805668015835,0.5016194331984165,1.0,er,False,0.5,0.5,10.0,25.0,9.0,16.0,cx,20.0,10.0,False,False,100.0,100.0,24.967023134231567,68851.0,38024.0,30827.0,4259459283.0,25.01008105278015,2024-11-10 23:12:37.221681
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.4210526315789476,0.5789473684210525,-0.1578947368421049,0.7272727272727281,1.3749999999999996,19.0,8.0,10.999999999999996,False,False,False,9.288792252416251e-17,1.1905815549843722e-16,6.655553224256149e-17,2.9582808634907533e-16,5.999314860941094e-16,3.1776437161565094e-15,1.3322676295501878e-15,3.7890986362223954e-15,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4418604651162788,0.5581395348837213,-0.1162790697674424,0.7916666666666656,1.2631578947368438,42.99999999999999,18.99999999999998,24.0,False,False,False,4.1485069582976886e-16,4.183640918457415e-16,8.246606105923677e-16,1.3338857221751434e-15,2.117006381139857e-15,2.440794451859697e-14,2.5234272779186663e-14,1.5587468005037626e-14,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5185185185185174,0.4814814814814827,0.0370370370370346,1.0769230769230718,0.9285714285714328,107.99999999999982,55.99999999999977,52.00000000000004,False,False,False,1.0310738718936457e-15,1.0268062566791012e-15,2.052458663982834e-15,4.406900204271681e-15,3.82978669887384e-15,6.052889989818927e-13,3.2366372033092257e-13,3.2084368208338535e-13,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.4801587301587246,0.5198412698412753,-0.0396825396825506,0.9236641221373846,1.0826446280991973,251.99999999999804,120.99999999999768,131.00000000000034,False,False,False,7.837979947897691e-15,7.819352072446172e-15,1.5652409520001685e-14,2.8983222096425814e-14,3.397808500699524e-14,7.1343076495955175e-12,5.120341733722803e-12,2.4864041760247964e-12,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5127118644067667,0.4872881355932333,0.0254237288135335,1.052173913043424,0.950413223140545,472.0000000000049,241.9999999999964,230.0000000000085,False,False,False,1.723624374375531e-14,1.7241405230462088e-14,3.44759223978393e-14,7.26249656940773e-14,6.558149053902908e-14,5.1963379561193836e-11,2.6676293068759822e-11,2.7723459636766436e-11,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5165165165164709,0.483483483483529,0.0330330330329421,1.068322981366265,0.9360465116280776,666.0000000000134,343.99999999997664,322.0000000000367,False,False,False,3.9267726748071854e-14,3.927270167213296e-14,7.853856884439148e-14,1.6798858656561704e-13,1.4718291163741084e-13,2.5390535161584555e-10,1.344125767452917e-10,1.2482835166239544e-10,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.4761146496814551,0.5238853503185449,-0.0477707006370897,0.9088145896653854,1.1003344481608592,627.9999999997256,298.9999999998231,328.99999999990234,False,False,False,1.8738980194214665e-13,1.8737437946292614e-13,3.7475583792445844e-13,6.827498380297073e-13,8.266230255945944e-13,1.1338008218021063e-09,6.132992078907353e-10,5.372770706188837e-10,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5035460992907189,0.4964539007092811,0.0070921985814378,1.0142857142854662,0.985915492957988,282.00000000115097,142.00000000056235,140.0000000005887,False,False,False,3.836595266128122e-13,3.836356341879786e-13,7.672863786662819e-13,1.556567177828241e-12,1.513026118327903e-12,3.359713265127172e-09,1.666241216078625e-09,1.6999403476667906e-09,,,,,,,,,,,,,,,,,,,,,,,,,
