,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,prob_p,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.4983805668015835,0.5016194331984165,1.0,er,False,0.5,0.5,10.0,25.0,9.0,16.0,cx,20.0,10.0,False,False,100.0,100.0,24.967023134231567,68851.0,38024.0,30827.0,4259459283.0,25.01008105278015,2024-11-10 23:12:37.221681
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.4210526315789476,0.5789473684210525,-0.1578947368421049,0.7272727272727281,1.3749999999999996,18.999999999999996,8.0,10.999999999999996,False,False,False,9.288792252416251e-17,1.1905815549843722e-16,6.655553224256149e-17,2.9582808634907537e-16,5.999314860941094e-16,3.1776437161565094e-15,1.3322676295501878e-15,3.7890986362223954e-15,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.4418604651162788,0.5581395348837213,-0.11627906976744248,0.7916666666666656,1.2631578947368438,42.999999999999986,18.99999999999998,24.0,False,False,False,4.1485069582976886e-16,4.1836409184574146e-16,8.246606105923677e-16,1.3338857221751434e-15,2.117006381139857e-15,2.4407944518596974e-14,2.523427277918666e-14,1.5587468005037626e-14,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.5185185185185174,0.48148148148148273,0.03703703703703461,1.0769230769230718,0.9285714285714329,107.99999999999982,55.99999999999977,52.00000000000004,False,False,False,1.0310738718936457e-15,1.0268062566791012e-15,2.052458663982834e-15,4.406900204271681e-15,3.82978669887384e-15,6.052889989818927e-13,3.2366372033092257e-13,3.2084368208338535e-13,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.4801587301587246,0.5198412698412753,-0.03968253968255063,0.9236641221373846,1.0826446280991973,251.99999999999804,120.99999999999768,131.00000000000034,False,False,False,7.83797994789769e-15,7.819352072446172e-15,1.5652409520001685e-14,2.898322209642581e-14,3.397808500699524e-14,7.134307649595518e-12,5.120341733722803e-12,2.4864041760247964e-12,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.5127118644067667,0.4872881355932333,0.025423728813533525,1.052173913043424,0.950413223140545,472.0000000000049,241.99999999999642,230.0000000000085,False,False,False,1.723624374375531e-14,1.7241405230462088e-14,3.44759223978393e-14,7.26249656940773e-14,6.558149053902907e-14,5.1963379561193836e-11,2.6676293068759822e-11,2.7723459636766433e-11,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.5165165165164709,0.48348348348352904,0.03303303303294211,1.068322981366265,0.9360465116280775,666.0000000000134,343.99999999997664,322.0000000000367,False,False,False,3.926772674807185e-14,3.9272701672132954e-14,7.853856884439147e-14,1.6798858656561702e-13,1.4718291163741084e-13,2.5390535161584555e-10,1.344125767452917e-10,1.2482835166239544e-10,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.4761146496814551,0.5238853503185449,-0.04777070063708978,0.9088145896653854,1.1003344481608592,627.9999999997256,298.9999999998231,328.99999999990234,False,False,False,1.8738980194214663e-13,1.8737437946292614e-13,3.7475583792445844e-13,6.827498380297073e-13,8.266230255945944e-13,1.1338008218021065e-09,6.132992078907353e-10,5.372770706188838e-10,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.5035460992907189,0.4964539007092811,0.007092198581437859,1.0142857142854662,0.9859154929579879,282.00000000115097,142.00000000056235,140.0000000005887,False,False,False,3.836595266128122e-13,3.8363563418797855e-13,7.672863786662818e-13,1.556567177828241e-12,1.513026118327903e-12,3.359713265127172e-09,1.666241216078625e-09,1.6999403476667908e-09,,,,,,,,,,,,,,,,,,,,,,,,,
