,Unnamed: 0,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,prob_p,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5009671179884535,0.4990328820115466,0.0,er,False,0.5,0.5,10.0,21.0,8.0,13.0,cx,1.0,10.0,True,False,100.0,100.0,1.0002479553222656,46534.0,16871.0,29663.0,130250193.0,1.0334768295288086,2024-11-10 23:11:58.570337
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.3000000000000001,0.6999999999999998,-0.3999999999999997,0.4285714285714289,2.333333333333332,9.999999999999996,3.0,6.999999999999995,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.7894736842105257,0.2105263157894743,0.5789473684210513,3.749999999999985,0.2666666666666677,18.99999999999994,14.99999999999994,4.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.2291666666666694,0.7708333333333305,-0.5416666666666612,0.2972972972973019,3.363636363636311,48.00000000000043,11.000000000000233,37.0000000000002,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.7045454545454485,0.2954545454545514,0.4090909090908969,2.384615384615316,0.4193548387096895,87.99999999999272,61.99999999999434,25.99999999999838,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.3482142857142802,0.6517857142857197,-0.3035714285714396,0.5342465753424528,1.871794871794917,112.00000000002642,39.00000000000858,73.00000000001783,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.7565217391303923,0.2434782608696076,0.5130434782607848,3.1071428571421422,0.3218390804598441,114.99999999995656,86.99999999996227,27.9999999999943,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.1555555555563606,0.8444444444436393,-0.6888888888872787,0.1842105263169185,5.428571428538157,90.00000000028605,14.000000000116955,76.0000000001691,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.8000000000158715,0.1999999999841285,0.6000000000317429,4.000000000396787,0.2499999999752008,34.99999999840797,27.99999999928188,6.999999999126093,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.4983805668015809,0.5016194331984192,1.0,er,False,0.5,0.5,10.0,25.0,9.0,16.0,cx,1.0,10.0,True,False,100.0,100.0,1.2116987705230713,47682.0,16855.0,30827.0,4259459283.0,1.2482528686523438,2024-11-10 23:12:34.092927
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.4210526315789476,0.5789473684210523,-0.1578947368421048,0.7272727272727281,1.3749999999999984,19.0,8.000000000000004,10.999999999999991,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4418604651162788,0.5581395348837211,-0.1162790697674422,0.7916666666666659,1.2631578947368434,43.00000000000001,18.999999999999996,24.00000000000001,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5185185185185163,0.4814814814814837,0.0370370370370325,1.076923076923067,0.9285714285714368,107.99999999999952,55.99999999999952,52.000000000000014,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.4801587301587246,0.5198412698412753,-0.0396825396825507,0.923664122137384,1.0826446280991977,251.9999999999949,120.99999999999616,130.99999999999875,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5127118644067712,0.4872881355932287,0.0254237288135424,1.0521739130434429,0.950413223140528,472.0000000000496,242.00000000002143,230.0000000000281,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5165165165164888,0.4834834834835112,0.0330330330329776,1.0683229813663409,0.936046511628011,665.9999999999968,343.9999999999799,322.00000000001694,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.4761146496814434,0.5238853503185565,-0.047770700637113,0.9088145896653432,1.100334448160911,627.9999999979983,298.9999999989935,328.99999999900484,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5035460992904796,0.4964539007095204,0.007092198580959,1.0142857142844948,0.9859154929589318,282.0000000042323,142.0000000020464,140.00000000218589,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.4965211891208613,0.5034788108791387,2.0,er,False,0.5,0.5,10.0,26.0,14.0,12.0,cx,1.0,10.0,True,False,100.0,100.0,1.203699827194214,48069.0,16855.0,31214.0,1535995910.0,1.2310659885406494,2024-11-10 23:13:48.080766
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
