,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,prob_p,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.4965211891208613,0.5034788108791387,2.0,er,False,0.5,0.5,10.0,26.0,14.0,12.0,cx,1.0,10.0,True,False,100.0,100.0,1.2036998271942139,48069.0,16855.0,31214.0,1535995910.0,1.2310659885406494,2024-11-10 23:13:48.080766
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.6363636363636364,0.36363636363636365,0.27272727272727265,1.7499999999999998,0.5714285714285715,21.999999999999993,13.999999999999995,7.999999999999998,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.4925373134328354,0.5074626865671646,-0.014925373134329166,0.970588235294116,1.030303030303032,66.99999999999994,32.99999999999994,34.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.43113772455089794,0.5688622754491021,-0.1377245508982042,0.7578947368421044,1.319444444444446,166.99999999999977,71.99999999999986,94.99999999999991,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.4789915966386616,0.5210084033613384,-0.04201680672267678,0.9193548387097,1.0877192982455872,357.0000000000056,171.0000000000049,186.00000000000074,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.49763033175355514,0.5023696682464448,-0.004739336492889708,0.9905660377358516,1.0095238095238068,632.999999999839,314.9999999999203,317.9999999999187,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.49941927990715196,0.500580720092848,-0.0011614401856961296,0.9976798143854189,1.0023255813950795,861.0000000008247,430.0000000004697,431.000000000355,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5026455026455103,0.49735449735448967,0.005291005291020585,1.0106382978723716,0.9894736842104959,755.9999999990943,379.99999999955054,375.9999999995437,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.5183946488300121,0.4816053511699879,0.03678929766002417,1.0763888888913924,0.9290322580623553,298.9999999966693,154.999999998447,143.9999999982223,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
