,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,prob_p,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.49601181683899026,0.5039881831610097,0.0,er,True,0.5,0.5,10.0,47.0,23.0,24.0,cx,20.0,10.0,False,False,100.0,100.0,35.987040996551514,83722.0,41856.0,41866.0,130250193.0,36.051599979400635,2024-11-10 23:11:58.546772
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0.5833333333333335,0.4166666666666668,0.1666666666666666,1.3999999999999995,0.714285714285714,12.0,7.0,5.0,False,False,False,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,4.440892098500626e-16,3.3306690738754696e-16,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.5476190476190476,0.45238095238095244,0.09523809523809525,1.2105263157894732,0.826086956521739,41.99999999999999,22.999999999999996,18.999999999999996,False,False,False,1.137640067256873e-16,1.0532500405730103e-16,1.5883854151770845e-16,6.040266291023252e-16,2.808666774861361e-16,4.766465574234764e-15,3.7261175413410954e-15,4.632171911966515e-15,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.596153846153846,0.403846153846154,0.1923076923076921,1.4761904761904752,0.6774193548387102,104.00000000000018,62.0000000000001,42.00000000000009,False,False,False,2.3551386880256624e-16,2.275280134513746e-16,4.45863755938572e-16,1.3615517350689903e-15,6.577544395191481e-16,1.0771227926873735e-13,6.581635816990803e-14,5.044353016870346e-14,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.5062761506276143,0.4937238493723856,0.012552301255228692,1.0254237288135566,0.9752066115702508,239.00000000000074,121.00000000000018,118.00000000000057,False,False,False,1.3117556363566089e-15,1.3208854814931098e-15,2.6383458904724357e-15,5.410785557108579e-15,5.149987033978387e-15,1.3830746748484783e-12,7.636334713453561e-13,7.572465654702102e-13,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.5164609053497933,0.4835390946502067,0.03292181069958657,1.0680851063829746,0.9362549800796851,486.0000000000071,251.00000000000324,235.00000000000387,False,False,False,3.263187034988839e-15,3.263375893225244e-15,6.512497015968746e-15,1.395254869463798e-14,1.2246997953725194e-14,1.1044904475126902e-11,5.396937628026666e-12,6.048831571467322e-12,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.4729381443298958,0.5270618556701042,-0.054123711340208505,0.8973105134474286,1.114441416893738,775.9999999999607,366.9999999999804,408.9999999999801,False,False,False,7.940045040548894e-15,7.921462675999684e-15,1.5858023021552577e-14,2.8550524313140036e-14,3.5483603251097315e-14,1.0582797458551984e-10,5.2114812440470193e-11,5.437095596842673e-11,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.4810690423162621,0.518930957683738,-0.03786191536747581,0.9270386266094558,1.0787037037036875,898.0000000002741,432.00000000013523,466.0000000001388,False,False,False,2.3935214994405493e-14,2.3931165689092758e-14,4.7874592351003984e-14,8.886627958874837e-14,1.0341804647408158e-13,6.842322027601942e-10,3.402446274248692e-10,3.450105234276295e-10,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5102685624012577,0.4897314375987422,0.02053712480251542,1.0419354838709423,0.9597523219814477,633.000000000364,323.0000000001818,310.0000000001821,False,False,False,6.595884417490231e-14,6.593929315461842e-14,1.318635645373617e-13,2.749583462198412e-13,2.532647275595428e-13,3.2077605693542643e-09,1.6046154681301432e-09,1.6035761432328509e-09,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.47692307692253566,0.5230769230774645,-0.04615384615492892,0.9117647058803744,1.0967741935507673,194.9999999954116,92.99999999770611,101.99999999770549,False,False,False,1.5746052469315937e-12,1.5745888071938611e-12,3.1491865961446476e-12,5.754899298629112e-12,6.92266910667331e-12,1.2772877652638643e-08,6.39745511877613e-09,6.3755506767507995e-09,,,,,,,,,,,,,,,,,,,,,,,,,
