,Unnamed: 0,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,prob_p,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.4960118168390057,0.5039881831609941,0.0,er,True,0.5,0.5,10.0,47.0,23.0,24.0,cx,1.0,10.0,True,False,100.0,100.0,1.850437879562378,58068.0,18140.0,39928.0,130250193.0,1.922602891921997,2024-11-10 23:12:10.993049
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,0.5833333333333334,0.4166666666666667,0.1666666666666666,1.4,0.7142857142857143,12.0,7.0,5.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.5476190476190477,0.4523809523809523,0.0952380952380953,1.210526315789474,0.8260869565217388,41.99999999999999,23.0,18.999999999999996,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.5961538461538461,0.4038461538461539,0.1923076923076922,1.4761904761904758,0.6774193548387099,104.00000000000028,62.00000000000016,42.00000000000012,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5062761506276134,0.4937238493723865,0.0125523012552268,1.0254237288135528,0.975206611570254,238.9999999999996,120.99999999999942,118.00000000000018,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.5164609053497916,0.4835390946502084,0.0329218106995832,1.0680851063829675,0.9362549800796912,486.0000000000056,251.0000000000016,235.000000000004,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.4729381443298978,0.5270618556701021,-0.0541237113402042,0.8973105134474362,1.1144414168937289,776.0000000000837,367.0000000000403,409.00000000004337,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.4810690423162601,0.5189309576837399,-0.0378619153674797,0.9270386266094488,1.078703703703696,897.9999999997634,431.9999999998878,465.9999999998756,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.5102685624012626,0.4897314375987373,0.0205371248025253,1.041935483870963,0.9597523219814286,632.9999999989755,322.9999999994765,309.999999999499,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.4769230769234495,0.5230769230765505,-0.046153846153101,0.9117647058837148,1.096774193546749,195.0000000013269,93.00000000070548,102.0000000006214,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5030714516649996,0.4969285483350004,1.0,er,True,0.5,0.5,10.0,49.0,31.0,18.0,cx,1.0,10.0,True,False,100.0,100.0,1.5818960666656494,60457.0,18073.0,42384.0,4259459283.0,1.634147882461548,2024-11-10 23:11:58.546744
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,0.4666666666666667,0.5333333333333333,-0.0666666666666666,0.875,1.1428571428571428,15.0,7.0,8.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.4999999999999999,0.5000000000000001,-2.5535129566378613e-16,0.9999999999999996,1.0000000000000004,39.99999999999999,19.99999999999999,20.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4954954954954949,0.5045045045045051,-0.0090090090090101,0.9821428571428548,1.0181818181818203,111.0000000000002,55.00000000000004,56.00000000000016,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.4771929824561399,0.52280701754386,-0.0456140350877203,0.9127516778523472,1.0955882352941195,285.000000000003,136.0000000000013,149.0000000000017,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.5061728395061716,0.4938271604938284,0.0123456790123431,1.024999999999995,0.9756097560975658,648.0000000000011,327.9999999999998,320.00000000000136,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.511744966442947,0.488255033557053,0.0234899328858939,1.0481099656357136,0.9540983606557608,1192.0000000000111,609.9999999999985,582.0000000000126,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5051235684146721,0.4948764315853279,0.0102471368293442,1.0207064555418768,0.9797136038187552,1658.999999999755,837.9999999998172,820.9999999999377,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.505882352941131,0.4941176470588689,0.011764705882262,1.023809523809338,0.9767441860466892,1529.999999994612,773.9999999972048,755.9999999974071,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.4872521246464488,0.5127478753535512,-0.0254957507071023,0.9502762430960394,1.0523255813930048,706.0000000349503,344.0000000174225,362.0000000175278,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5065104166666791,0.493489583333321,2.0,er,True,0.5,0.5,10.0,43.0,19.0,24.0,cx,1.0,10.0,True,False,100.0,100.0,1.726875066757202,57186.0,18116.0,39070.0,1535995910.0,1.778066873550415,2024-11-10 23:12:45.971316
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,0.4,0.6,-0.2,0.6666666666666666,1.5,10.0,4.0,6.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.3461538461538462,0.6538461538461537,-0.3076923076923074,0.5294117647058826,1.888888888888888,25.999999999999996,9.0,16.999999999999993,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4411764705882339,0.5588235294117659,-0.117647058823532,0.7894736842105222,1.2666666666666733,67.99999999999974,29.9999999999998,37.99999999999994,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5624999999999983,0.4375000000000016,0.1249999999999967,1.2857142857142771,0.7777777777777829,144.0000000000024,81.00000000000111,63.00000000000128,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.4904942965779525,0.5095057034220475,-0.0190114068440949,0.9626865671642014,1.0387596899224565,262.9999999999956,128.99999999999935,133.99999999999622,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.4904632152588631,0.5095367847411368,-0.0190735694822735,0.9625668449198154,1.0388888888888572,367.000000000012,180.00000000000867,187.00000000000333,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.519999999999986,0.480000000000014,0.0399999999999719,1.0833333333332726,0.9230769230769748,375.0000000001433,195.00000000006924,180.000000000074,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.5260869565218701,0.4739130434781299,0.0521739130437401,1.110091743119849,0.9008264462805188,229.999999999325,120.999999999675,108.99999999965,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5471698113208847,0.4528301886791153,0.0943396226417693,1.208333333333967,0.8275862068961177,52.999999999862425,28.99999999993161,23.99999999993081,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
