,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,prob_p,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5030714516649996,0.4969285483350004,1.0,er,True,0.5,0.5,10.0,49.0,31.0,18.0,cx,1.0,10.0,True,False,100.0,100.0,1.5818960666656494,60457.0,18073.0,42384.0,4259459283.0,1.6341478824615479,2024-11-10 23:11:58.546744
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0.4666666666666667,0.5333333333333333,-0.06666666666666667,0.875,1.1428571428571428,15.0,7.0,8.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.4999999999999999,0.5000000000000001,-2.553512956637861e-16,0.9999999999999997,1.0000000000000004,39.999999999999986,19.99999999999999,19.999999999999996,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.49549549549549493,0.5045045045045051,-0.009009009009010176,0.9821428571428549,1.0181818181818205,111.0000000000002,55.000000000000036,56.00000000000016,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.4771929824561399,0.52280701754386,-0.0456140350877203,0.9127516778523473,1.0955882352941197,285.000000000003,136.0000000000013,149.0000000000017,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.5061728395061716,0.4938271604938284,0.012345679012343125,1.024999999999995,0.9756097560975658,648.0000000000011,327.9999999999998,320.00000000000136,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.511744966442947,0.488255033557053,0.023489932885893995,1.0481099656357136,0.9540983606557607,1192.0000000000111,609.9999999999985,582.0000000000126,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.5051235684146721,0.4948764315853279,0.01024713682934425,1.0207064555418768,0.9797136038187552,1658.999999999755,837.9999999998172,820.9999999999377,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.505882352941131,0.49411764705886896,0.011764705882262043,1.0238095238093379,0.9767441860466891,1529.999999994612,773.9999999972048,755.9999999974071,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.48725212464644885,0.5127478753535512,-0.02549575070710231,0.9502762430960394,1.0523255813930048,706.0000000349503,344.0000000174225,362.0000000175278,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
