,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,prob_p,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,directed,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5009671179878932,0.4990328820121069,0.0,er,0.5,0.5,10.0,21.0,8.0,13.0,cx,20.0,10.0,False,False,False,100.0,100.0,12.804431915283203,67751.0,37880.0,29871.0,130250193.0,12.853647232055664,2024-11-08 21:40:05.315937
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.30000000000000016,0.6999999999999995,-0.3999999999999995,0.428571428571429,2.33333333333333,9.999999999999996,3.000000000000001,6.999999999999997,False,False,False,1.2098374922832816e-16,2.7194799110210365e-16,1.5798750608595155e-16,1.9068706655153886e-16,1.2481988174211264e-15,1.3759600911837627e-15,1.031970068387822e-15,3.011959563148489e-15,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.7894736842105258,0.21052631578947412,0.5789473684210519,3.7499999999999916,0.26666666666666733,18.99999999999998,14.999999999999972,4.000000000000002,False,False,False,4.523392502223303e-16,4.3661029064309583e-16,8.588994154719671e-16,9.791638385290723e-15,6.899926682599784e-16,1.7549111014472585e-14,1.853720071408498e-14,7.171731382337878e-15,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.2291666666666652,0.7708333333333348,-0.5416666666666696,0.29729729729729476,3.3636363636363917,48.00000000000032,11.000000000000004,37.00000000000032,False,False,False,2.688983887272228e-15,2.6944360297401985e-15,5.3758759772048505e-15,4.527290885921863e-15,5.121380713719101e-14,2.3767627958741395e-13,1.5038148527771907e-13,2.0036801211079554e-13,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.7045454545454529,0.2954545454545472,0.4090909090909058,2.384615384615366,0.41935483870968077,87.9999999999939,61.999999999995566,25.999999999998344,False,False,False,1.2286663206943092e-14,1.2283195415693321e-14,2.4587924873357508e-14,1.407036585095854e-13,2.4750579155739793e-14,2.0781206841591387e-12,2.0532257027354553e-12,1.0801873892992468e-12,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.34821428571425905,0.6517857142857411,-0.303571428571482,0.5342465753424028,1.871794871795092,112.00000000003547,39.00000000000936,73.0000000000261,False,False,False,4.525946237833442e-14,4.524724118319489e-14,9.05256096001597e-14,1.0653429064098629e-13,3.73262961241234e-13,1.361238627917112e-11,7.732052462462582e-12,9.092386482995998e-12,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.7565217391304125,0.24347826086958743,0.5130434782608251,3.1071428571424824,0.32183908045980886,114.99999999985785,86.9999999998899,27.999999999967947,False,False,False,2.851381505930529e-13,2.851344096580192e-13,5.702634720524447e-13,4.809827197657606e-12,4.982054644521629e-13,8.641300587347732e-11,6.955856484069105e-11,4.101453801664757e-11,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.155555555556322,0.8444444444436779,-0.6888888888873559,0.18421052631686433,5.428571428539754,90.00000000036266,14.000000000125393,76.00000000023726,False,False,False,1.6148355313961226e-12,1.6148172118055205e-12,3.2296626440478584e-12,2.2645675606075458e-12,6.673554116558443e-11,3.8445013555853663e-10,1.9284377273192284e-10,2.42312246874438e-10,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.7999999999990121,0.20000000000098797,0.599999999998024,3.9999999999753,0.25000000000154377,34.99999999960034,27.999999999645684,6.999999999954648,False,False,False,9.97735914910955e-12,9.977352181045362e-12,1.9954695991718035e-11,2.4943374779744234e-10,1.55896106829183e-11,9.31185126340734e-10,5.364392478903321e-10,5.038963476653667e-10,,,,,,,,,,,,,,,,,,,,,,,,,
