,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,prob_p,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,directed,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.4960118168390057,0.5039881831609941,0.0,er,0.5,0.5,10.0,47.0,23.0,24.0,cx,1.0,10.0,True,True,False,100.0,100.0,1.925684928894043,59992.0,17969.0,42023.0,130250193.0,1.9859881401062012,2024-11-08 21:40:05.316648
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0.5833333333333334,0.4166666666666667,0.16666666666666666,1.4,0.7142857142857143,12.0,7.0,5.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.5476190476190477,0.4523809523809523,0.09523809523809534,1.2105263157894741,0.8260869565217388,41.99999999999999,23.0,18.999999999999993,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.5961538461538461,0.4038461538461539,0.19230769230769224,1.4761904761904758,0.6774193548387099,104.00000000000028,62.00000000000016,42.00000000000012,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.5062761506276134,0.49372384937238656,0.012552301255226892,1.0254237288135528,0.9752066115702541,238.9999999999996,120.99999999999942,118.00000000000018,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.5164609053497916,0.4835390946502084,0.03292181069958323,1.0680851063829675,0.9362549800796912,486.00000000000557,251.0000000000016,235.00000000000398,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.47293814432989784,0.5270618556701021,-0.05412371134020428,0.8973105134474362,1.1144414168937287,776.0000000000837,367.0000000000403,409.00000000004337,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.48106904231626013,0.5189309576837399,-0.03786191536747972,0.9270386266094487,1.078703703703696,897.9999999997634,431.9999999998878,465.9999999998756,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5102685624012626,0.48973143759873733,0.02053712480252532,1.041935483870963,0.9597523219814286,632.9999999989755,322.9999999994765,309.999999999499,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.47692307692344954,0.5230769230765505,-0.046153846153101016,0.9117647058837147,1.096774193546749,195.0000000013269,93.00000000070548,102.00000000062141,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
