,l,avg_pos_k_bal,avg_neg_k_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_k_bal,std_pos_k_bal_perc,std_neg_k_bal,std_neg_k_bal_perc,std_rel_signed_clust_coeff,std_rel_signed_clust_coeff_perc,std_pos_to_neg_ratio,std_pos_to_neg_ratio_perc,std_neg_to_pos_ratio,std_neg_to_pos_ratio_perc,std_total,std_total_perc,std_pos,std_pos_perc,std_neg,std_neg_perc,avg_of_all_pos_k_balance,avg_of_all_neg_k_balance,pos_degree_of_bal,neg_degree_of_bal,pos_weighted_1_k_bal,neg_weighted_1_k_bal,pos_weighted_1_k_2_bal,neg_weighted_1_k_2_bal,pos_weighted_1_k_3_bal,neg_weighted_1_k_3_bal,pos_weighted_1_k_4_bal,neg_weighted_1_k_4_bal,pos_weighted_1_k_fac_bal,neg_weighted_1_k_fac_bal,run,kind,directed,prob_p,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4801489638803257,0.5198510361196743,0.4959409635801049,0.504059036419895,0.49420861505461416,0.5057913849453858,0.49098763037227916,0.5090123696277209,0.48527768446755043,0.5147223155324495,0.4759641118996741,0.524035888100326,0.40681499974312924,0.5931850002568708,0.0,er,False,0.5,False,0.9,11.0,27.0,3.0,24.0,cx,10.0,10.0,False,False,121.0,121.0,7.379336357116699,60323.0,27904.0,32419.0,130250193.0,7.774217128753662,2024-12-07 13:43:27.641111
1,1,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.248760683760684,0.7512393162393162,-0.5024786324786321,0.3341269841269845,3.0999999999999965,12.499999999999996,3.1000000000000014,9.399999999999995,False,False,False,0.03523215949184649,0.14163073906703438,0.03523215949184649,0.04689871620167291,0.070464318983693,0.14023346353277916,0.06390737187046795,0.1912667186622079,0.5722761571129793,0.184605211971929,3.0083217912982643,0.2406657433038612,0.8306623862918072,0.267955608481228,2.3748684174075834,0.2526455763199558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.7139837021228418,0.28601629787715804,0.4279674042456838,2.6749783549783523,0.41032361455748606,32.699999999999974,23.69999999999998,9.0,False,False,False,0.05939698649321667,0.08319095564312663,0.05939698649321667,0.20766993676258005,0.11879397298643338,0.27757715145576173,0.9015056214189926,0.3370141742422765,0.11752552572593483,0.28642155010425213,9.077995373429093,0.277614537413734,7.668767828015143,0.3235767016040147,2.0976176963402953,0.23306863292669946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.36627025614638925,0.6337297438536108,-0.2674594877072216,0.5853915544712468,1.783046757164421,73.20000000000027,26.49999999999998,46.700000000000315,False,False,False,0.045327437561708546,0.12375407721775879,0.04532743756170854,0.07152487002752865,0.09065487512341709,0.3389480623796519,0.10428689673192186,0.17814896018805515,0.4317789549178915,0.24215795417757272,25.84492213182333,0.3530727067188967,9.46836839165024,0.35729692043963196,17.49885710553713,0.37470786093227004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.5379130579330729,0.4620869420669271,0.07582611586614596,1.193684169302744,0.8739292681574866,136.49999999999196,75.19999999999352,61.29999999999848,False,False,False,0.05007897692908151,0.09309864520022924,0.050078976929081497,0.10837565914560778,0.10015795385816305,1.3208899429184728,0.2747658698692234,0.2301830558997192,0.16075017298998404,0.1839395690785081,58.234439981849185,0.4266259339329862,35.368912903845484,0.47033128861500706,24.327145331911932,0.3968539205858489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.5088057552807927,0.49119424471920725,0.017611510561585404,1.0501104877985077,0.9805413777360433,199.20000000002895,99.30000000000426,99.90000000002465,False,False,False,0.04244652435386981,0.08342382906114142,0.042446524353869815,0.08641494644981947,0.08489304870773967,4.820316145561652,0.1658111704648085,0.15789878531012624,0.18252745443076665,0.18614967055464957,98.40914591643924,0.4940218168495228,47.66560604880925,0.48001617370400007,52.14297651650957,0.5219517168818489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.4789493437232113,0.5210506562767887,-0.042101312553577463,0.9320523702920704,1.1030815733091537,222.79999999988894,105.39999999992844,117.39999999996049,False,False,False,0.04150450220523968,0.08665739445970609,0.041504502205239685,0.07965540721474874,0.08300900441047933,1.97164884835463,0.1616987118936041,0.17348672354422934,0.17561691817930072,0.15920574001836008,126.9313200120203,0.5697096948477718,60.859181723023056,0.577411591300421,66.83442226877824,0.5692880942828001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5117039055400088,0.4882960944599913,0.023407811080017594,1.080661407216313,0.9816114208781375,170.40000000025674,86.40000000023421,84.00000000002251,False,False,False,0.05962341401095144,0.1165193647447931,0.059623414010951434,0.12210503972367262,0.11924682802190285,5.094317773424769,0.27276624366961094,0.25240675927553696,0.23867377771345324,0.2431448663259629,110.32424937431854,0.6474427780173257,54.1390801547267,0.6266097240113419,57.01929497992823,0.6788011307132494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
