,l,pos_k_bal,neg_k_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,avg_pos_k_balance,avg_neg_k_balance,pos_degree_of_bal,neg_degree_of_bal,pos_weighted_1_k_bal,neg_weighted_1_k_bal,pos_weighted_1_k_2_bal,neg_weighted_1_k_2_bal,pos_weighted_1_k_3_bal,neg_weighted_1_k_3_bal,pos_weighted_1_k_4_bal,neg_weighted_1_k_4_bal,pos_weighted_1_k_fac_bal,neg_weighted_1_k_fac_bal,run,kind,directed,prob_p,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.5097372494020636,0.49026275059793634,0.5468786453012241,0.4531213546987758,0.5370449368902932,0.46295506310970663,0.5263672098124192,0.4736327901875803,0.5144941146333447,0.4855058853666552,0.5007434343799655,0.49925656562003407,0.4137956564080424,0.5862043435919576,0.0,er,False,0.5,False,0.9,11.0,27.0,3.0,24.0,pyr,100.0,,0.26439499855041504,40639.0,9945.0,30694.0,130250193.0,0.9071750640869141,2024-12-07 13:43:27.641102
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.24178207595887533,0.7582179240411244,-0.5164358480822491,0.3188820368031309,3.135955885208338,17.563192389006343,4.246465116279072,13.316727272727265,False,False,False,463,127,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.7167840604970422,0.28321593950295776,0.4335681209940844,2.530874716144133,0.39512030904616696,52.776775016611246,37.82955109634546,14.947223920265783,False,False,False,459,310,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.31232722377055033,0.6876727762294496,-0.37534555245889917,0.45418000329031344,2.2017702073087455,144.49459825490302,45.12959672279487,99.36500153210814,False,False,False,358,117,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.6005309478628735,0.3994690521371263,0.2010618957257472,1.5033228347730136,0.6651931154567939,334.7600884741818,201.03379323805981,133.72629523612196,False,False,False,243,142,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.44381421463653564,0.5561857853634639,-0.11237157072692826,0.7979603692073969,1.2531950690650042,524.166838663098,232.63269383977854,291.53414482331925,False,False,False,107,50,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.46079928223613165,0.5392007177638677,-0.07840143552773605,0.8545969377546889,1.1701422692050985,984.5038729994457,453.65867803683625,530.8451949626087,False,False,False,54,23,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.7226834348065573,0.2773165651934429,0.44536686961311434,2.605987256125315,0.3837317307095506,741.3552154596847,535.7651335201602,205.59008193952454,False,False,False,13,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.5791767554479424,0.4208232445520581,0.15835351089588431,1.3762945914844662,0.7265886287625412,642.6629660581119,372.2154515280884,270.44751453002385,False,False,False,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
