,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,prob_p,prob_r,n_nodes,n_edges,directed_graph,alg,n_samples,exact,parallel,matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,before_alg_mem,seed,script_run_time,exp_date
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5109004739330614,0.4890995260669386,1.0,er,0.5,0.5,10.0,21.0,False,cx,10.0,False,False,100.0,5.858172178268433,55299.0,27960.0,27339.0,130250193.0,5.877346038818359,2024-11-05 14:27:47.164271
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2,2,1.0,0.0,1.0,0.0,0.0,10.5,10.5,0.0,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
3,3,0.30000000000000027,0.6999999999999996,-0.3999999999999996,0.4285714285714291,2.3333333333333304,9.999999999999996,3.0000000000000018,6.999999999999995,False,False,False,8.233634315563857e-17,1.5700924586837752e-16,1.8410966031475738e-16,1.7109685898544713e-16,9.930136612989092e-16,1.2560739669470201e-15,1.1749496091904413e-15,4.864753555590494e-16,,,,,,,,,,,,,,,,,,,,,
4,4,0.7894736842105259,0.21052631578947406,0.5789473684210519,3.7499999999999907,0.26666666666666733,18.99999999999998,14.999999999999975,4.000000000000003,False,False,False,5.20740757162067e-16,5.151632230046717e-16,1.028380596404813e-15,1.156679772130055e-14,8.167876913468631e-16,1.343470785371113e-14,1.852868764786606e-14,8.188600426433445e-15,,,,,,,,,,,,,,,,,,,,,
5,5,0.22916666666666569,0.7708333333333344,-0.5416666666666687,0.2972972972972956,3.3636363636363833,48.000000000000306,11.000000000000023,37.000000000000284,False,False,False,2.1170245759047412e-15,2.1158415907456875e-15,4.23255692454377e-15,3.55921294701532e-15,4.0258346355745905e-14,2.2736257294192203e-13,1.1849378667190842e-13,1.9365385703745413e-13,,,,,,,,,,,,,,,,,,,,,
6,6,0.7045454545454537,0.29545454545454636,0.4090909090909074,2.384615384615375,0.41935483870967916,87.999999999993,61.999999999995,25.99999999999801,False,False,False,1.5204097964645512e-14,1.519747919090361e-14,3.042197469570226e-14,1.7403005669376046e-13,3.0619193216150046e-14,1.7380520196336022e-12,2.3474841608925247e-12,1.0582340799591828e-12,,,,,,,,,,,,,,,,,,,,,
7,7,0.34821428571428326,0.6517857142857167,-0.30357142857143343,0.53424657534246,1.8717948717948922,112.000000000041,39.000000000014,73.00000000002699,False,False,False,2.386980793900743e-14,2.3890441412394332e-14,4.775057806585991e-14,5.6192499184822414e-14,1.9691331956580566e-13,8.52539838843359e-12,3.0827115845464955e-12,7.079537752125614e-12,,,,,,,,,,,,,,,,,,,,,
8,8,0.7565217391304102,0.2434782608695898,0.5130434782608203,3.107142857142443,0.32183908045981297,114.99999999985899,86.99999999989049,27.99999999996849,False,False,False,3.678419099519355e-13,3.6783638755075434e-13,7.356596763964388e-13,6.2048688543819e-12,6.427031568987203e-13,7.137962305829081e-11,6.705433697950561e-11,4.6462391257115184e-11,,,,,,,,,,,,,,,,,,,,,
9,9,0.15555555555629613,0.8444444444437037,-0.6888888888874076,0.18421052631682808,5.428571428540822,90.00000000029561,14.000000000112639,76.00000000018295,False,False,False,1.8122632138896669e-12,1.812247066751773e-12,3.624522914507443e-12,2.5414302111135578e-12,7.489455011790469e-11,4.401782436794112e-10,2.2189961419885986e-10,2.594906819876287e-10,,,,,,,,,,,,,,,,,,,,,
10,10,0.799999999997588,0.20000000000241203,0.5999999999951758,3.9999999999396985,0.2500000000037689,34.99999999951129,27.999999999524608,6.999999999986679,False,False,False,1.0745847217184144e-11,1.0745845026790109e-11,2.1491684902063882e-11,2.686460328372033e-10,1.6790382864413956e-11,1.1070934978710733e-09,6.382136495243511e-10,5.657917494608271e-10,,,,,,,,,,,,,,,,,,,,,
