,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,prob_p,prob_r,n_nodes,n_edges,directed_graph,alg,n_samples,specified_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,before_alg_mem,seed,script_run_time,exp_date
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,0.5436729945695244,0.45632700543047566,1.0,er,0.5,0.5,10.0,21.0,False,pyr,10.0,0.5,0.011691093444824219,35094.0,9039.0,26055.0,130250193.0,0.027467012405395508,2024-11-05 14:17:19.193825
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,
3,3,0.40573509717657363,0.5942649028234263,-0.1885298056468526,0.682751236441654,1.4646623054273402,11.30437190364376,4.58658043284503,6.717791470798729,False,False,False,38,14,24,,,,,,,,,,,,,,,,,,,
4,4,0.8190088178970241,0.18099118210297585,0.6380176357940482,4.525131049926205,0.22098807503404963,18.75272319339677,15.358645654973994,3.3940775384227733,False,False,False,22,19,3,,,,,,,,,,,,,,,,,,,
5,5,0.1466517203049586,0.8533482796950413,-0.7066965593900827,0.17185447465525697,5.818876709530068,64.14440782242885,9.406887755102034,54.737520067326805,False,False,False,33,3,30,,,,,,,,,,,,,,,,,,,
6,6,0.6044223344047038,0.3955776655952965,0.20884466880940727,1.5279485850019396,0.6544722838293218,135.30859789565872,81.78353860512144,53.52505929053733,False,False,False,21,13,8,,,,,,,,,,,,,,,,,,,
7,7,0.4575911440523062,0.5424088559476937,-0.08481771189538748,0.843627715577773,1.18535697859942,113.05737105063697,51.73405176260706,61.32331928802991,False,False,False,5,2,3,,,,,,,,,,,,,,,,,,,
8,8,1.0,0.0,1.0,0.0,0.0,51.224185249942565,51.224185249942565,0.0,False,False,True,1,1,0,,,,,,,,,,,,,,,,,,,
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,
