,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,prob_p,prob_r,n_nodes,n_edges,directed_graph,alg,n_samples,exact,parallel,matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,before_alg_mem,seed,script_run_time,exp_date
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,er,0.5,0.0,10.0,21.0,False,cx,10.0,False,False,100.0,4.929269552230835,55299.0,27960.0,27339.0,130250193.0,4.956302165985107,2024-11-05 14:34:42.222403
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
3,3,1.0,0.0,1.0,0.0,0.0,9.999999999999996,9.999999999999996,0.0,False,False,True,0.0,0.0,0.0,0.0,0.0,1.2560739669470201e-15,1.2560739669470201e-15,0.0,,,,,,,,,,,,,,,,,,,,,
4,4,1.0,0.0,1.0,0.0,0.0,18.99999999999998,18.99999999999998,0.0,False,False,True,0.0,0.0,0.0,0.0,0.0,1.343470785371113e-14,1.343470785371113e-14,0.0,,,,,,,,,,,,,,,,,,,,,
5,5,1.0,0.0,1.0,0.0,0.0,48.000000000000306,48.000000000000306,0.0,False,False,True,0.0,0.0,0.0,0.0,0.0,2.2736257294192203e-13,2.2736257294192203e-13,0.0,,,,,,,,,,,,,,,,,,,,,
6,6,1.0,0.0,1.0,0.0,0.0,87.999999999993,87.999999999993,0.0,False,False,True,0.0,0.0,0.0,0.0,0.0,1.7380520196336022e-12,1.7380520196336022e-12,0.0,,,,,,,,,,,,,,,,,,,,,
7,7,1.0,0.0,1.0,0.0,0.0,112.000000000041,112.000000000041,0.0,False,False,True,0.0,0.0,0.0,0.0,0.0,8.52539838843359e-12,8.52539838843359e-12,0.0,,,,,,,,,,,,,,,,,,,,,
8,8,1.0,0.0,1.0,0.0,0.0,114.99999999985899,114.99999999985899,0.0,False,False,True,0.0,0.0,0.0,0.0,0.0,7.137962305829081e-11,7.137962305829081e-11,0.0,,,,,,,,,,,,,,,,,,,,,
9,9,1.0,0.0,1.0,0.0,0.0,90.00000000029561,90.00000000029561,0.0,False,False,True,0.0,0.0,0.0,0.0,0.0,4.401782436794112e-10,4.401782436794112e-10,0.0,,,,,,,,,,,,,,,,,,,,,
10,10,1.0,0.0,1.0,0.0,0.0,34.99999999951129,34.99999999951129,0.0,False,False,True,0.0,0.0,0.0,0.0,0.0,1.1070934978710733e-09,1.1070934978710733e-09,0.0,,,,,,,,,,,,,,,,,,,,,
