,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.4871607232789176,0.5128392767210823,0.0,random,False,0.5,20.0,50.0,25.0,25.0,cx,20.0,10.0,False,False,400.0,400.0,8.56608510017395,79835.0,37344.0,42491.0,130250193.0,8.672240018844604,2024-11-10 23:12:54.384828
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.5477380952380959,0.4522619047619041,0.09547619047619192,1.5686274509803952,88177288647444.98,3.1000000000000005,1.8000000000000018,1.299999999999999,False,False,False,0.3302626205401946,0.33026262054019456,0.6605252410803891,1.4360653665569076,182371963811820.06,2.1189620100417073,1.5362291495737206,0.9539392014169449,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.5609632034632007,0.4390367965367993,0.12192640692640144,-70368744177663.22,-8004649687341.641,4.399999999999987,1.8499999999999837,2.5500000000000034,False,False,False,0.38298994078489446,0.38298994078489446,0.7659798815697889,272536974293621.22,25028675852284.688,4.164132562731401,1.851350858157355,2.5194245374688298,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.49402464447793737,0.5059753555220629,-0.011950711044125444,-5212499568714.232,-2033113913795.8562,5.649999999999883,2.3999999999998973,3.249999999999986,False,False,False,0.29955595244174305,0.2995559524417431,0.5991119048834862,21491686295299.17,4892680693233.763,7.058859681279953,3.1527765540868598,4.0233692348577765,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.9607107340859885,0.03928926591401149,0.9214214681719772,3394983271727.512,1407374883545.3823,6.59999999999945,3.399999999999777,3.199999999999672,False,False,False,1.8997226951282105,1.8997226951282105,3.799445390256421,10981503552012.348,6134604893086.047,9.085152722986523,4.47660585711968,4.7916594202839935,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.5070176105925206,0.49298238940747935,0.014035221185041177,-20470907397125.867,-113326613672.306,5.799999999999756,2.450000000000022,3.349999999999734,False,False,False,0.44933116034923054,0.44933116034923054,0.8986623206984611,89230616626677.53,493979256615.1655,9.516301802697875,4.018395202069069,5.552251795443414,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.15050087881779858,0.8494991211822013,-0.6989982423644028,-26058878555.255173,0.8200651086413926,3.5499999999936294,1.5999999999964938,1.9499999999971347,False,False,False,1.5366041077520631,1.5366041077520631,3.0732082155041263,110558458416.83733,1.2906983463320871,6.367691889515634,2.9899832775350617,3.4996428389151193,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.4931013493759595,0.5068986506240405,-0.013797301248081106,-877414053.1962776,51185629697.079315,1.249999999981744,0.6999999999948977,0.549999999986846,False,False,False,0.5831973609746384,0.5831973609746384,1.1663947219492767,3824559190.2913566,230555617965.01257,2.2555487137337877,1.4177446878783162,0.9205976319810123,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.5495438484565214,0.45045615154347873,0.09908769691304262,-69879587069.44731,13730486670.609486,0.39999999999932134,0.14999999999940972,0.24999999999991163,False,False,False,0.4402572029106464,0.44025720291064635,0.8805144058212927,296473979293.56146,59849803835.136024,1.1575836902770686,0.47696960070682987,0.766485485837802,,,,,,,,,,,,,,,,,,,,,,,,
