,Unnamed: 0,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.405058200155494,0.5949417998445055,0.0,random,False,0.5,20.0,50.0,25.0,25.0,pyr,1000.0,1.0,1.736360788345337,53570.0,13428.0,40142.0,130250193.0,1.8045201301574707,2024-11-10 23:13:28.562946
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
3,3,3,0.580264568666352,0.4197354313336475,0.1605291373327044,1.3824531486957077,0.7233518191509508,52.37052558918355,30.388760441837743,21.981765147345783,False,False,False,4666,2759,1907,,,,,,,,,,,,,,,,,,,,
4,4,4,0.5162890320234059,0.4837109679765942,0.0325780640468117,1.0673502694865256,0.9368995620163884,160.94738788936206,83.09537110009438,77.8520167892677,False,False,False,4789,2643,2146,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5243822229705997,0.4756177770294001,0.0487644459411995,1.1025286444206754,0.9070059132345272,515.6285936351244,270.3864681575905,245.24212547753376,False,False,False,5255,2658,2597,,,,,,,,,,,,,,,,,,,,
6,6,6,0.5405096197275511,0.4594903802724494,0.0810192394551016,1.1763241254519023,0.8501058325364492,1614.8934437255443,872.8654411686094,742.0280025569358,False,False,False,4912,2695,2217,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5197709327772537,0.4802290672227458,0.0395418655545079,1.082339592193338,0.9239244385151998,4634.454386325645,2408.854679294116,2225.5997070315275,False,False,False,4125,2120,2005,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5214050985591709,0.4785949014408289,0.042810197118342,1.0894497559197984,0.9178945560052212,12129.155023902216,6324.203270677199,5804.951753225016,False,False,False,3070,1581,1489,,,,,,,,,,,,,,,,,,,,
9,9,9,0.5040754794126592,0.4959245205873405,0.0081509588253185,1.0164358858797002,0.9838298842966614,27333.974980367115,13778.386542482183,13555.588437884922,False,False,False,1951,951,1000,,,,,,,,,,,,,,,,,,,,
10,10,10,0.4771542498439238,0.5228457501560762,-0.0456915003121523,0.912609980479878,1.0957583429825846,57347.96164145976,27363.823617108854,29984.138024350912,False,False,False,1160,554,606,,,,,,,,,,,,,,,,,,,,
11,11,11,0.5224851876821583,0.4775148123178424,0.0449703753643158,1.0941758751860096,0.913929855956658,106181.3569398379,55478.18620905745,50703.17073078053,False,False,False,605,323,282,,,,,,,,,,,,,,,,,,,,
12,12,12,0.5553629801625686,0.4446370198374322,0.1107259603251362,1.249025509314586,0.8006241606296407,187858.4863882454,104329.64884940528,83528.83753884026,False,False,False,314,167,147,,,,,,,,,,,,,,,,,,,,
13,13,13,0.3914715350440639,0.6085284649559355,-0.2170569299118715,0.6433085017188325,1.5544641448513996,207360.5307663611,81175.74528665922,126184.78547970176,False,False,False,107,47,60,,,,,,,,,,,,,,,,,,,,
14,14,14,0.3750153719334375,0.6249846280665609,-0.2499692561331233,0.6000393531174952,1.6665573596206904,227975.8186733482,85494.43643161558,142481.38224173224,False,False,False,35,13,22,,,,,,,,,,,,,,,,,,,,
15,15,15,0.4027298112052225,0.5972701887947759,-0.1945403775895533,0.6742841326433621,1.4830543261929514,338759.6689819267,136428.61753303502,202331.05144889117,False,False,False,10,4,6,,,,,,,,,,,,,,,,,,,,
16,16,16,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
17,17,17,0.0,1.0,-1.0,0.0,,97123.5908364458,0.0,97123.5908364458,False,True,False,1,0,1,,,,,,,,,,,,,,,,,,,,
18,18,18,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
19,19,19,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
20,20,20,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.4454066929981886,0.5545933070018102,1.0,random,False,0.5,20.0,50.0,31.0,19.0,pyr,1000.0,1.0,1.8189730644226076,53902.0,13428.0,40474.0,4259459283.0,1.883937120437622,2024-11-10 23:13:23.750283
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
3,3,3,0.5515709388929543,0.4484290611070461,0.1031418777859082,1.2300071220435171,0.8130034225644267,61.88018192759061,34.13131004466798,27.74887188292266,False,False,False,5302,2899,2403,,,,,,,,,,,,,,,,,,,,
4,4,4,0.5271275262020342,0.4728724737979655,0.0542550524040686,1.1147350615871312,0.8970741429593375,185.57239242940145,97.82031615270348,87.7520762766979,False,False,False,5753,3139,2614,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5098444487083049,0.490155551291695,0.0196888974166098,1.0401686716894754,0.9613825403679654,527.4893853474248,268.9375348719404,258.55185047548434,False,False,False,4953,2667,2286,,,,,,,,,,,,,,,,,,,,
6,6,6,0.4960815585664889,0.5039184414335108,-0.0078368828670219,0.9844481125859808,1.015797569435292,1708.89971739946,847.7536352413565,861.146082158103,False,False,False,4625,2324,2301,,,,,,,,,,,,,,,,,,,,
7,7,7,0.4949984960566014,0.505001503943399,-0.0100030078867976,0.9801921225804532,1.0202081581388358,4844.798941502999,2398.168189740599,2446.6307517624023,False,False,False,3605,1776,1829,,,,,,,,,,,,,,,,,,,,
8,8,8,0.4655246648406605,0.5344753351593388,-0.0689506703186782,0.8709937282734992,1.1481138928316046,13344.165822105524,6212.038321913871,7132.127500191643,False,False,False,2693,1263,1430,,,,,,,,,,,,,,,,,,,,
9,9,9,0.5021820360542361,0.4978179639457635,0.0043640721084725,1.0087664014248952,0.9913097805274714,33071.479190823935,16607.902755373263,16463.576435450657,False,False,False,1880,930,950,,,,,,,,,,,,,,,,,,,,
10,10,10,0.4952369206991779,0.5047630793008214,-0.0095261586016435,0.9811274655530694,1.0192355581813135,74023.64955333817,36659.24426371027,37364.40528962785,False,False,False,1114,544,570,,,,,,,,,,,,,,,,,,,,
11,11,11,0.5259966653525431,0.4740033346474563,0.0519933307050867,1.1096897994267427,0.9011527370230784,147110.10839640786,77379.42645616169,69730.6819402461,False,False,False,630,325,305,,,,,,,,,,,,,,,,,,,,
12,12,12,0.4603309359704813,0.539669064029517,-0.0793381280590357,0.8529874448117405,1.172350198215058,233202.17257895813,107350.17437362151,125851.99820533623,False,False,False,285,131,154,,,,,,,,,,,,,,,,,,,,
13,13,13,0.4672210212689061,0.5327789787310926,-0.0655579574621864,0.876950930724924,1.140314657256089,375106.6958134349,175257.73350275797,199848.96231067643,False,False,False,116,59,57,,,,,,,,,,,,,,,,,,,,
14,14,14,0.4187402536874574,0.5812597463125416,-0.1625194926250842,0.7204012600974127,1.3881152843413682,478273.0560215847,200272.1808103539,278000.8752112303,False,False,False,35,18,17,,,,,,,,,,,,,,,,,,,,
15,15,15,0.666294218887707,0.3337057811122921,0.3325884377754148,1.9966517111775737,0.5008384759354078,104701.69664252985,69762.13518065208,34939.56146187768,False,False,False,5,3,2,,,,,,,,,,,,,,,,,,,,
16,16,16,0.3930971463587948,0.606902853641204,-0.2138057072824091,0.6477101631675481,1.5439004308804127,766770.7097532453,301415.37791550846,465355.331837736,False,False,False,4,2,2,,,,,,,,,,,,,,,,,,,,
17,17,17,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
18,18,18,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
19,19,19,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
20,20,20,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.5268407109284937,0.4731592890715069,2.0,random,False,0.5,20.0,50.0,21.0,29.0,pyr,1000.0,1.0,1.7355520725250244,53825.0,13479.0,40346.0,1535995910.0,1.803606986999512,2024-11-10 23:13:21.712745
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
3,3,3,0.432306365492228,0.5676936345077724,-0.1353872690155443,0.7615134981512801,1.3131743592565222,57.58802009272135,24.895667662177768,32.69235243054361,False,False,False,5563,2174,3389,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4559378605801961,0.544062139419804,-0.0881242788396079,0.838025342227296,1.193281336030017,202.1755106976171,92.17946980918008,109.99604088843704,False,False,False,6192,2821,3371,,,,,,,,,,,,,,,,,,,,
5,5,5,0.4820982055636357,0.5179017944363639,-0.0358035888727282,0.9308679961001226,1.0742661732807512,523.914293890765,252.57814095387704,271.3361529368877,False,False,False,5130,2500,2630,,,,,,,,,,,,,,,,,,,,
6,6,6,0.5015454559087524,0.4984545440912475,0.0030909118175048,1.0062009903493607,0.9938372249591926,1642.3512483408094,823.7138056114,818.6374427294095,False,False,False,4596,2291,2305,,,,,,,,,,,,,,,,,,,,
7,7,7,0.506869822478401,0.4931301775215984,0.0137396449568026,1.0278621053488477,0.9728931486005205,4242.496187032609,2150.3932891865115,2092.1028978460945,False,False,False,3533,1778,1755,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5000358424156601,0.4999641575843405,7.168483131967427e-05,1.0001433799408062,0.999856640614054,10253.741794709322,5127.238416230139,5126.503378479189,False,False,False,2473,1231,1242,,,,,,,,,,,,,,,,,,,,
9,9,9,0.5143658787930497,0.4856341212069509,0.0287317575860989,1.0591633831549805,0.9441414005658434,22707.77336541156,11680.103802533326,11027.669562878247,False,False,False,1621,827,794,,,,,,,,,,,,,,,,,,,,
10,10,10,0.4930647814114207,0.5069352185885789,-0.0138704371771582,0.9726386396751509,1.0281310645174322,49607.69869908157,24459.809115386277,25147.88958369528,False,False,False,987,495,492,,,,,,,,,,,,,,,,,,,,
11,11,11,0.4732318957999318,0.5267681042000664,-0.0535362084001345,0.89836854590611,1.1131289096852592,88669.02063135926,41961.00873210141,46708.01189925769,False,False,False,527,261,266,,,,,,,,,,,,,,,,,,,,
12,12,12,0.4815858698429147,0.5184141301570866,-0.0368282603141719,0.928959767545278,1.0764728839037256,145809.6073080172,70219.84656688527,75589.76074113212,False,False,False,243,131,112,,,,,,,,,,,,,,,,,,,,
13,13,13,0.4844612413895676,0.5155387586104336,-0.031077517220866,0.9397183689842614,1.0641486141011554,177338.30771214052,85913.53670014873,91424.77101199202,False,False,False,99,42,57,,,,,,,,,,,,,,,,,,,,
14,14,14,0.6045683993692976,0.395431600630703,0.2091367987385946,1.5288823614628342,0.6540725599340425,240131.355111996,145175.82899843983,94955.52611355632,False,False,False,31,21,10,,,,,,,,,,,,,,,,,,,,
15,15,15,0.5522341850886601,0.4477658149113406,0.1044683701773194,1.2333102856411773,0.8108259629733947,102618.57799850967,56669.4867959641,45949.091202545664,False,False,False,5,2,3,,,,,,,,,,,,,,,,,,,,
16,16,16,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
17,17,17,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
18,18,18,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
19,19,19,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
20,20,20,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.5325338916301147,0.4674661083698856,3.0,random,False,0.5,20.0,50.0,16.0,34.0,pyr,1000.0,1.0,1.8212599754333496,53672.0,13326.0,40346.0,1779285243.0,1.8959438800811768,2024-11-10 23:13:19.759246
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
3,3,3,0.5554001353473436,0.4445998646526562,0.1108002706946873,1.249213460245315,0.8005037023885606,40.943220075607776,22.739869971548632,18.203350104059133,False,False,False,3933,2205,1728,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4195969857212574,0.580403014278743,-0.1608060285574856,0.7229407418613831,1.3832392367668502,124.7511004215945,52.345185702310935,72.40591471928361,False,False,False,4826,1989,2837,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5379996046236665,0.4620003953763339,0.0759992092473325,1.1645003121381,0.85873742546615,404.3941703183175,217.56390374337045,186.8302665749472,False,False,False,5065,2654,2411,,,,,,,,,,,,,,,,,,,,
6,6,6,0.5204872266600908,0.4795127733399096,0.0409744533201812,1.085450181096919,0.9212767360630352,1224.5814779399334,637.3790172722711,587.2024606676628,False,False,False,4799,2509,2290,,,,,,,,,,,,,,,,,,,,
7,7,7,0.4571995915650325,0.5428004084349671,-0.0856008168699346,0.84229780313404,1.1872285506137832,3268.900901371793,1494.5401569737503,1774.3607443980416,False,False,False,3849,1785,2064,,,,,,,,,,,,,,,,,,,,
8,8,8,0.4838143402090589,0.5161856597909421,-0.0323713195818832,0.9372874488706374,1.066908557460069,9379.833550652842,4538.097980579899,4841.735570072952,False,False,False,3143,1519,1624,,,,,,,,,,,,,,,,,,,,
9,9,9,0.4881530061669934,0.5118469938330064,-0.0236939876660129,0.9537088466836962,1.0485380349330624,23354.16041626909,11400.403613707958,11953.756802561124,False,False,False,2220,1105,1115,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5144608485431311,0.4855391514568697,0.0289216970862613,1.0595661482693646,0.943782511014856,55144.81767667952,28369.8496947008,26774.967981978763,False,False,False,1456,752,704,,,,,,,,,,,,,,,,,,,,
11,11,11,0.4951542041080132,0.5048457958919883,-0.009691591783975,0.9808028672065072,1.019572875891125,124860.13288665442,61825.01972431214,63035.11316234247,False,False,False,902,442,460,,,,,,,,,,,,,,,,,,,,
12,12,12,0.4945884754083796,0.5054115245916199,-0.0108230491832402,0.9785856699805464,1.021882938485988,225723.3757523868,111640.1802774058,114083.19547498088,False,False,False,439,227,212,,,,,,,,,,,,,,,,,,,,
13,13,13,0.5171821281514352,0.4828178718485655,0.0343642563028695,1.0711743667882447,0.9335548263709388,385216.5514729439,199227.11588993395,185989.43558301017,False,False,False,215,110,105,,,,,,,,,,,,,,,,,,,,
14,14,14,0.5037226230602003,0.4962773769398005,0.0074452461203998,1.0150021872169743,0.9852195518335692,724320.1087758758,364856.4251278338,359463.6836480426,False,False,False,106,53,53,,,,,,,,,,,,,,,,,,,,
15,15,15,0.531955064609379,0.4680449353906206,0.0639101292187584,1.1365469945004754,0.8798580303663649,846719.4833724854,450416.7174834305,396302.7658890546,False,False,False,31,16,15,,,,,,,,,,,,,,,,,,,,
16,16,16,0.6878439173485166,0.3121560826514837,0.3756878346970329,2.203525593689876,0.4538181915670274,1323520.5522699931,910375.5613646643,413144.9909053294,False,False,False,15,8,7,,,,,,,,,,,,,,,,,,,,
17,17,17,0.0,1.0,-1.0,0.0,,304748.9097800055,0.0,304748.9097800055,False,True,False,1,0,1,,,,,,,,,,,,,,,,,,,,
18,18,18,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
19,19,19,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
20,20,20,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,
