,Unnamed: 0,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,com_sizes,edge_probs,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5222158721944247,0.4777841278055753,0.0,sbm,False,"[10, 20]","[[0.4, 0.3], [0.3, 0.4]]",0.5,30.0,158.0,81.0,77.0,cx,20.0,10.0,False,False,900.0,900.0,14.60224676132202,124284.0,36658.0,87626.0,130250193.0,14.747653007507324,2024-11-10 23:11:58.566960
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.4459933085919934,0.5540066914080066,-0.1080133828160133,0.9178153717627416,62726191993111.5,7.949999999999998,3.650000000000001,4.299999999999997,False,False,False,0.2330832770079502,0.2330832770079502,0.4661665540159004,0.638766442376882,222180647216368.88,5.113462623311133,2.920188350089766,2.8301943396169795,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.5343277510673009,0.4656722489326991,0.0686555021346018,37529996894755.03,1.1788813379602936,16.699999999999996,8.249999999999988,8.450000000000006,False,False,False,0.2292605802806672,0.2292605802806672,0.4585211605613344,109587049763401.9,0.7799838242929688,13.827870407260829,7.244825739795262,7.242064622743982,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.4814659838796766,0.5185340161203233,-0.0370680322406467,-18764998447374.29,-1121414249842.0923,34.149999999999935,15.49999999999988,18.65000000000005,False,False,False,0.1937470850669072,0.1937470850669073,0.3874941701338145,81794731907806.47,4888131388913.439,33.511602468399104,16.78838884467483,17.678447330011878,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.6407206200756996,0.3592793799243002,0.2814412401513994,-34494482439.03849,0.7405612991104994,59.799999999996885,32.399999999997604,27.399999999999288,False,False,False,0.2501135681184762,0.2501135681184762,0.5002271362369524,3601164493002.308,0.5151558353695924,71.75834446250559,36.25244819318807,36.2510689497566,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.47535755820634,0.5246424417936599,-0.0492848835873199,-13690417154.255705,-96874752977.45856,88.0500000000159,43.45000000000375,44.60000000001215,False,False,False,0.1911241924619406,0.1911241924619406,0.3822483849238813,59675144874.29196,422267258415.62427,125.06057532252882,65.22919208452903,60.31948275640863,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.7035562298713224,0.2964437701286774,0.4071124597426451,93575457683.82622,-10823879126.668716,99.94999999994776,51.1499999999582,48.79999999998956,False,False,False,0.821783560035673,0.821783560035673,1.6435671200713458,407885963635.1108,47180195293.82607,164.87828086200528,83.68767830451041,81.3600639134809,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.506061188838531,0.4939388111614689,0.0121223776770619,189389846.26375455,0.838452518622127,77.90000000006611,37.79999999999925,40.10000000006687,False,False,False,0.5474803539171552,0.5474803539171552,1.0949607078343104,825531199.0817299,0.9118281929368092,149.97763166537587,72.88045005341326,77.21521870712886,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5197819895382769,0.480218010461723,0.039563979076554,-12090849512.88211,0.6920689348459941,31.949999999846835,15.699999999924865,16.24999999992197,False,False,False,0.2748372474718197,0.2748372474718197,0.5496744949436395,52702791176.36372,1.0786511199229174,69.46112221968642,33.56799070551759,35.93727173844452,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.4900934655447845,0.5099065344552154,1.0,sbm,False,"[10, 20]","[[0.4, 0.3], [0.3, 0.4]]",0.5,30.0,154.0,75.0,79.0,cx,20.0,10.0,False,False,900.0,900.0,15.776047706604004,125771.0,36808.0,88963.0,4259459283.0,15.91229009628296,2024-11-10 23:12:21.224529
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.4946464646464651,0.505353535353535,-0.0107070707070697,1.5590476190476208,125276186817701.31,7.749999999999998,4.1,3.649999999999997,False,False,False,0.2392901977621017,0.2392901977621017,0.4785803955242036,1.535142861574185,490973307328191.75,3.4040417153730638,2.527844931952906,2.1511624764298936,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.505849626594593,0.4941503734054071,0.011699253189186,1.5618497558512945,-1631738995423.0964,14.999999999999982,7.949999999999976,7.050000000000006,False,False,False,0.1927797289719297,0.1927797289719297,0.3855594579438594,1.8477498867528728,7112585383288.449,8.372574275573784,4.758938957372742,4.81118488524397,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.4852117455106532,0.5147882544893467,-0.0295765089786934,1.0220248297454,1.173899976657368,26.550000000000026,13.349999999999952,13.200000000000063,False,False,False,0.1019549807095062,0.1019549807095062,0.2039099614190126,0.4155619227540719,0.5598612128608539,18.704210755870168,9.737941260862256,9.558242516278876,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.3777565462745785,0.6222434537254214,-0.2444869074508428,-48613985614.00105,0.8771479247008953,39.699999999997125,20.499999999998185,19.19999999999894,False,False,False,0.6864871622132172,0.6864871622132172,1.3729743244264343,211903450538.5037,0.7027771023018231,34.40944637740963,17.90670265570793,17.1277552528046,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5170976553762527,0.4829023446237473,0.0341953107525054,-25635243779.53744,37078870636.68257,46.6000000000122,23.95000000000517,22.650000000007022,False,False,False,0.1758334903177602,0.1758334903177602,0.3516669806355204,111741437032.75012,161623050041.87814,48.2176316299484,24.926842960960773,23.63107064862528,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.4656950613881882,0.5343049386118118,-0.0686098772236236,1.2430652128726134,26916086705.555573,42.0999999999468,20.44999999996503,21.64999999998178,False,False,False,0.1769962295284918,0.1769962295284918,0.3539924590569837,1.4287090757796843,117324501899.77612,53.76699731241407,26.00283638371331,28.10209066952869,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.3015266453558802,0.6984733546441197,-0.3969467092882396,1.439748261024514,0.8961868479421803,24.150000000014565,12.250000000001574,11.900000000012986,False,False,False,1.080246744487206,1.080246744487206,2.160493488974412,1.2884721088656943,0.9089970932719886,40.61068209254965,19.320649575132933,21.53346233205359,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5255607196499495,0.4744392803500504,0.0511214392998989,1.1631574071059858,-17876584686.270466,6.25000000015029,3.2500000001110245,3.000000000039265,False,False,False,0.2994999649800177,0.2994999649800177,0.5989999299600354,1.7694497484147411,68844212450.26622,14.815110528205436,7.435556468167543,7.476630256372128,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.4964138456838409,0.503586154316159,2.0,sbm,False,"[10, 20]","[[0.4, 0.3], [0.3, 0.4]]",0.5,30.0,156.0,72.0,84.0,cx,20.0,10.0,False,False,900.0,900.0,15.266865015029907,124905.0,36776.0,88129.0,1535995910.0,15.407940864562988,2024-11-10 23:12:02.155963
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.5783639971139973,0.4216360028860026,0.1567279942279946,1.5425925925925936,60047995031607.35,7.449999999999998,4.2,3.2499999999999973,False,False,False,0.2308597049280821,0.230859704928082,0.4617194098561642,1.1539414771922516,261743142105005.28,3.82720524665192,2.675817632051929,2.021756661915572,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4346787886319602,0.5653212113680397,-0.1306424227360795,0.8650873979821296,-4094181479426.294,15.699999999999983,7.199999999999974,8.500000000000005,False,False,False,0.208704067963787,0.208704067963787,0.4174081359275741,0.7276166734498677,17846123325341.668,9.767804256842986,5.268775948927789,5.389805191284749,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.4598331188466523,0.5401668811533477,-0.0803337623066952,2.748003446061857,-2440975407787.72,26.849999999999994,12.449999999999973,14.400000000000023,False,False,False,0.1770236325066264,0.1770236325066264,0.3540472650132529,8.29022593181742,10639965126220.004,21.57840355540714,10.698013834352697,11.45163743750219,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.5470693735807022,0.4529306264192979,0.0941387471614043,-1279431712319.975,0.8894635339964347,40.99999999999706,20.69999999999776,20.299999999999294,False,False,False,0.1188883268778985,0.1188883268778985,0.2377766537557971,5576913539168.912,0.299699581483791,37.92888081659834,18.336030104684827,19.96521975836877,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5521480973227681,0.447851902677232,0.104296194645536,39093746766.83565,38551614684.68765,47.30000000001564,24.350000000008706,22.95000000000694,False,False,False,0.1967671207143728,0.1967671207143728,0.3935342414287457,170405691474.05817,168042592517.284,56.3525509626886,28.782416507313357,27.79833628116499,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5405986555596958,0.4594013444403041,0.0811973111193916,-4188615723.739776,0.93507640334487,46.04999999994971,23.8499999999604,22.19999999998931,False,False,False,0.1336403506416121,0.1336403506416121,0.2672807012832243,18257752658.11632,0.3624324114534433,68.60501074989303,35.42777864892594,33.44338499612494,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.4472794804979744,0.5527205195020256,-0.105441039004051,-661256332.4412673,-617286183.1607802,29.349999999931573,14.799999999968048,14.549999999963514,False,False,False,0.5125834647990362,0.5125834647990362,1.0251669295980723,8423748008.936965,2690688095.1606026,63.15558170092353,30.98160744691736,32.31636582284736,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.4962584256057452,0.5037415743942548,-0.0074831487885097,-12928045.20807312,2.5108361336343687,11.45000000031998,5.500000000165204,5.950000000154779,False,False,False,0.3766737146259938,0.3766737146259937,0.7533474292519875,3203637688.63031,7.888816667144484,36.01871041575215,16.901183390628383,19.153263429589536,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.484212532913888,0.515787467086112,3.0,sbm,False,"[10, 20]","[[0.4, 0.3], [0.3, 0.4]]",0.5,30.0,158.0,69.0,89.0,cx,20.0,10.0,False,False,900.0,900.0,15.541829824447632,122369.0,36784.0,85585.0,1779285243.0,15.754623889923096,2024-11-10 23:13:03.046814
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.508786213786214,0.491213786213786,0.0175724275724282,1.2573517126148728,1.3216666666666637,6.749999999999998,3.3000000000000007,3.449999999999998,False,False,False,0.1968854194650959,0.1968854194650959,0.3937708389301919,1.2248444199809136,1.027241451655837,3.238440982942253,1.6462077633154315,2.224297641953521,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4300142430033718,0.5699857569966282,-0.1399715139932563,0.932049339549334,-8042142191731.698,12.749999999999986,5.649999999999977,7.1000000000000085,False,False,False,0.1625058048549987,0.1625058048549987,0.3250116097099975,0.6858471017767961,35054885103349.254,6.425534997181167,3.525265947414456,3.910242959203433,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.460343418506596,0.5396565814934039,-0.0793131629868082,0.9358804121861196,1.282061108825843,20.09999999999995,9.199999999999893,10.90000000000006,False,False,False,0.0996836366975653,0.0996836366975653,0.1993672733951307,0.4820154791987531,0.5354367669437217,12.648715349789622,5.870264048575701,7.306846104852743,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.5105107417222631,0.4894892582777369,0.021021483444526,1.1324640520963996,1.0605362811645898,30.999999999998284,16.149999999998887,14.849999999999405,False,False,False,0.1013764581901579,0.1013764581901579,0.2027529163803158,0.4483971299864639,0.5456448475660441,24.90381496879445,13.290127915109816,12.059332485672494,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.4780538921685401,0.5219461078314599,-0.0438922156629198,1.0356252493287408,1.278235073393561,34.0000000000001,17.449999999999307,16.55000000000079,False,False,False,0.124758850811763,0.124758850811763,0.249517701623526,0.5272073438222972,0.7510813913796949,34.64967532315389,18.688164703897822,16.255691311044995,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5096556736328239,0.490344326367176,0.0193113472656479,1.128981075532577,1.22960447539486,26.450000000009886,12.850000000003192,13.600000000006691,False,False,False,0.1807929772916427,0.1807929772916427,0.3615859545832854,0.7220925338275367,0.8303535372764985,32.64119329927771,16.49022437688684,16.505756571581973,,,,,,,,,,,,,,,,,,,,,,,,,,
