,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,com_sizes,edge_probs,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.4832684323860058,0.5167315676139942,8.0,sbm,False,"[10, 20]","[[0.4, 0.3], [0.3, 0.4]]",0.5,30.0,156.0,85.0,71.0,cx,20.0,10.0,False,False,900.0,900.0,13.350643873214722,121338.0,36704.0,84634.0,2640136520.0,13.522644996643066,2024-11-10 23:13:02.945359
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.5584920634920639,0.44150793650793607,0.11698412698412781,1.3421568627451004,1.3735714285714242,5.4,2.8500000000000014,2.549999999999997,False,False,False,0.26504786073599146,0.2650478607359914,0.5300957214719828,1.115958476736169,1.3855477522251365,3.023243291566193,2.0316249653910026,1.8834808201837345,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.5394015856587001,0.4605984143413,0.07880317131740007,0.7820768498787024,-18764998447376.08,10.699999999999985,5.249999999999982,5.4500000000000055,False,False,False,0.27913664006260563,0.2791366400626057,0.5582732801252114,1.0878124305409322,81794731907814.36,7.765951326141562,3.658893275295132,4.409931972264427,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.4983257414333491,0.5016742585666509,-0.003348517133301865,3078331939420.1123,1.364328449328488,17.949999999999957,8.249999999999918,9.700000000000037,False,False,False,0.2035393490578764,0.20353934905787638,0.40707869811575276,13060256334638.836,1.071589015169036,18.47559200675333,9.401462652162241,9.392017887546963,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.4186141389316644,0.5813858610683356,-0.16277172213667138,-413933789279.7664,-4518001252723.049,26.799999999998295,13.04999999999902,13.749999999999279,False,False,False,0.24261487274970625,0.24261487274970625,0.4852297454994125,1804295556790.8806,18938050943209.594,34.418890162233026,18.062322663488192,16.726849673503118,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,-0.4083060776416434,1.4083060776416436,-1.8166121552832872,0.9225937138234723,247566671016.67072,31.70000000000416,15.899999999999636,15.800000000004525,False,False,False,3.7365546273303205,3.7365546273303205,7.473109254660641,0.797409259895655,847339125548.6221,50.159844497375786,25.103585401295355,25.317187837521207,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.14927644436431314,0.8507235556356868,-0.7014471112713738,-150790166094.69974,-38770657948.0421,28.549999999974528,14.099999999982959,14.449999999991581,False,False,False,1.5500410922816261,1.5500410922816261,3.1000821845632522,657279095694.0724,168997379975.0261,51.23521738019555,25.47920720899879,25.921950158097488,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.35132197108469404,0.6486780289153061,-0.29735605783061214,0.9612342649865091,85247011687.05504,16.150000000067948,7.750000000033774,8.400000000034176,False,False,False,0.3049900070338196,0.3049900070338196,0.6099800140676394,1.1246837545839456,371583109178.26685,28.524156429343666,13.884793840797547,14.78309845740581,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,1.3650096945297876,-0.36500969452978776,1.730019389059575,-1788283107.3371472,1.0805693907483405,3.2499999997428,1.1999999998520536,2.0499999998907463,False,False,False,3.5786718652828937,3.5786718652828937,7.157343730565787,15272577093.821932,2.070079375771058,7.555627042531956,2.9086079146902715,4.944441323498225,,,,,,,,,,,,,,,,,,,,,,,,,,
