,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,com_sizes,edge_probs,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.3826234746562018,0.6173765253437984,3.0,sbm,False,"[10, 20]","[[0.4, 0.3], [0.3, 0.4]]",0.5,30.0,158.0,69.0,89.0,pyr,1000.0,,2.95554780960083,114109.0,26539.0,87570.0,1779285243.0,3.0770139694213867,2024-11-10 23:13:42.932582
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3,3,0.5630395387300476,0.4369604612699523,0.12607907746009528,1.2885365808468519,0.7760742029867558,200.53864204325566,112.9111845135848,87.62745752967085,False,False,False,13313,7633,5680,,,,,,,,,,,,,,,,,,,,,,
4,4,0.48468713710791056,0.5153128628920886,-0.03062572578417806,0.9405686758675159,1.0631865866441583,1583.1668684497145,767.3406170329881,815.826251416725,False,False,False,16268,7890,8378,,,,,,,,,,,,,,,,,,,,,,
5,5,0.49305369528139836,0.5069463047186018,-0.013892609437203454,0.9725955011252818,1.0281766662944785,12392.282776508855,6110.060815929718,6282.221960579139,False,False,False,17114,8418,8696,,,,,,,,,,,,,,,,,,,,,,
6,6,0.4951000812868507,0.5048999187131472,-0.00979983742629653,0.9805905347513748,1.0197936493987743,99216.7995113574,49122.245503094215,50094.554008262974,False,False,False,17315,8577,8738,,,,,,,,,,,,,,,,,,,,,,
7,7,0.497951581043166,0.502048418956834,-0.004096837913668034,0.9918397553722398,1.0082273820781642,753087.1946142259,375000.9592215162,378086.23539270967,False,False,False,15676,7865,7811,,,,,,,,,,,,,,,,,,,,,,
8,8,0.5051717449893026,0.49482825501069566,0.010343489978606974,1.02090319191329,0.9795248050169036,5605149.258834286,2831563.0320108123,2773586.2268234636,False,False,False,13676,6882,6794,,,,,,,,,,,,,,,,,,,,,,
9,9,0.4992516556884593,0.5007483443115416,-0.0014966886230822897,0.9970110962121302,1.0029978641152795,39554796.09161237,19747797.439156875,19806998.65245553,False,False,False,11017,5537,5480,,,,,,,,,,,,,,,,,,,,,,
