,Unnamed: 0,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,com_sizes,edge_probs,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.5214373961001076,0.4785626038998921,0.0,sbm,False,[10],[[0.5]],0.5,10.0,21.0,9.0,12.0,pyr,1000.0,,0.8649463653564453,42459.0,9159.0,33300.0,130250193.0,0.878227949142456,2024-11-10 17:33:44.948731
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.3882843645796264,0.6117156354203737,-0.2234312708407471,0.6347465098105524,1.5754320575917178,10.159790379552796,3.944887751786859,6.214902627765937,False,False,False,3543,1366,2177,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4632774661551065,0.5367225338448927,-0.0734450676897861,0.863160081683824,1.1585336500377,21.744175936505897,10.073586731495292,11.670589205010586,False,False,False,2743,1249,1494,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5296400015194017,0.4703599984805977,0.059280003038804,1.1260311319633811,0.8880749133963732,58.98805535343416,31.242433727019417,27.7456216264147,False,False,False,2892,1502,1390,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.522560330927216,0.477439669072784,0.0451206618544319,1.0945054732089166,0.9136546362515288,109.03819187294782,56.97903362883288,52.05915824411493,False,False,False,1791,905,886,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.500437868141953,0.4995621318580467,0.0008757362839063,1.0017530077402967,0.9982500599182116,129.21042802370513,64.66179114189227,64.54863688181284,False,False,False,705,348,357,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5109494912160274,0.4890505087839723,0.021898982432055,1.044778569981467,0.9571406121181628,127.27683012685785,65.03203159690676,62.24479852995105,False,False,False,241,119,122,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.5906517271021093,0.4093482728978905,0.1813034542042189,1.442907583121632,0.6930450790455812,104.00688664817125,61.43184722925566,42.57503941891556,False,False,False,73,42,31,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.4983786182413979,0.5016213817586019,-0.0032427635172039,0.993535436017828,1.0065066264853948,49.412579004610976,24.62617284806193,24.78640615654904,False,False,False,12,6,6,,,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.4692478812972718,0.5307521187027281,1.0,sbm,False,[10],[[0.5]],0.5,10.0,25.0,10.0,15.0,pyr,1000.0,,1.7495379447937012,44049.0,9585.0,34464.0,4259459283.0,1.7768619060516355,2024-11-10 17:33:41.303321
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.6881703036240723,0.3118296963759276,0.3763406072481446,2.2068786636486526,0.4531286728499566,19.344220259964715,13.312117929670848,6.032102330293864,False,False,False,5138,3515,1623,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.5082355316197398,0.4917644683802606,0.0164710632394791,1.0334938050602362,0.9675916731225264,48.29321382225028,24.544327200577136,23.748886621673165,False,False,False,3984,1976,2008,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.4714506018786427,0.5285493981213575,-0.0570987962427147,0.8919707477755853,1.1211129989339004,129.74774478812805,61.1696523727595,68.57809241536857,False,False,False,3120,1436,1684,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.494252606785626,0.5057473932143741,-0.011494786428748,0.9772716842776178,1.02325690602525,333.5951832026392,164.8802889090329,168.7148942936063,False,False,False,2188,1082,1106,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5020816671195897,0.4979183328804104,0.0041633342391793,1.0083614801148109,0.9917078544949388,625.2007369815593,313.90182830809744,311.29890867346194,False,False,False,1080,544,536,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.4757284603271012,0.5242715396728985,-0.0485430793457972,0.907408517013752,1.1020394687179742,874.5057130395937,416.0272564115797,458.47845662801376,False,False,False,394,191,203,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.4466910984953274,0.5533089015046727,-0.1066178030093452,0.8073087154039851,1.2386835183608669,730.6647292888049,326.3814305578073,404.28329873099767,False,False,False,86,40,46,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.394749562536804,0.6052504374631958,-0.2105008749263918,0.6522086364634937,1.5332516990611385,328.3099778031933,129.6002201142784,198.7097576889149,False,False,False,10,4,6,,,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.5041629697339977,0.4958370302660024,2.0,sbm,False,[10],[[0.5]],0.5,10.0,26.0,13.0,13.0,pyr,1000.0,,1.7979378700256348,44815.0,9811.0,35004.0,1535995910.0,1.82746696472168,2024-11-10 17:33:41.303316
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,
