,Unnamed: 0,l,avg_pos_k_bal,avg_neg_k_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_k_bal,std_pos_k_bal_perc,std_neg_k_bal,std_neg_k_bal_perc,std_rel_signed_clust_coeff,std_rel_signed_clust_coeff_perc,std_pos_to_neg_ratio,std_pos_to_neg_ratio_perc,std_neg_to_pos_ratio,std_neg_to_pos_ratio_perc,std_total,std_total_perc,std_pos,std_pos_perc,std_neg,std_neg_perc,avg_of_all_pos_k_balance,avg_of_all_neg_k_balance,pos_degree_of_bal,neg_degree_of_bal,pos_weighted_1_k_bal,neg_weighted_1_k_bal,pos_weighted_1_k_2_bal,neg_weighted_1_k_2_bal,pos_weighted_1_k_3_bal,neg_weighted_1_k_3_bal,pos_weighted_1_k_4_bal,neg_weighted_1_k_4_bal,pos_weighted_1_k_fac_bal,neg_weighted_1_k_fac_bal,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5011225553595895,0.4988774446404104,0.5000331064225009,0.499966893577499,0.5000391304155092,0.499960869584491,0.5000469095109072,0.4999530904890927,0.500057898598643,0.4999421014013569,0.5000753706608393,0.4999246293391606,0.5021396988278961,0.4978603011721039,0.0,complete,False,False,0.5,25.0,300.0,138.0,162.0,cx,100.0,11.0,False,False,625.0,625.0,92.20905208587646,239344.0,111169.0,128175.0,130250193.0,92.56844425201416,2024-12-07 20:58:52.454440
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.5075757575757576,0.4924242424242424,0.0151515151515151,1.0386961596610147,0.9773261648577408,164.99999999999997,83.74999999999999,81.24999999999999,False,False,False,0.0305249450144616,0.0601386976404318,0.0305249450144615,0.0619891191062912,0.0610498900289231,4.02929274190893,0.1283916752310214,0.1236085009430697,0.1197781199906231,0.122556956211295,0.0,0.0,5.0366159273861655,0.0601386976404318,5.0366159273861655,0.0619891191062912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.5014545454545452,0.4985454545454548,0.0029090909090899,1.007888736287533,0.996066335176601,990.0,496.4399999999998,493.5600000000002,False,False,False,0.0156159917405529,0.0311413903455552,0.0156159917405529,0.0313231052418093,0.0312319834811059,10.735994321633834,0.0656329464569981,0.0651192379614749,0.0600278779714591,0.0602649400462031,0.0,0.0,15.459831823147455,0.0311413903455552,15.459831823147454,0.0313231052418094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5008297258297258,0.4991702741702742,0.0016594516594517,1.003700684489369,0.9970526038861134,5543.999999999999,2776.6,2767.4,False,False,False,0.006808440325548,0.0135943215316711,0.0068084403255479,0.0136395147665093,0.013616880651096,8.205650688007712,0.0275929065008173,0.027491170353097,0.0269297489793098,0.0270093562509624,9.094947017729282e-13,1.6405027088256284e-16,37.74599316483811,0.0135943215316711,37.74599316483811,0.0136395147665094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.4997835497835493,0.5002164502164507,-0.0004329004329015,0.9992101837386193,1.0009411706890723,27720.000000000004,13854.0,13866.000000000013,False,False,False,0.0030676934620292,0.0061380440860005,0.0030676934620292,0.0061327320616941,0.0061353869240585,14.172743794537196,0.0123299199684574,0.0123396660373537,0.0122190046850027,0.0122075153293883,2.182787284255028e-11,7.874413002363014e-16,85.0364627674514,0.0061380440860005,85.03646276745143,0.0061327320616941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5002215488215496,0.4997784511784502,0.0004430976430994,1.0009066899537824,0.9991340156099672,118800.0000000188,59426.320000009575,59373.680000009335,False,False,False,0.0015794740196164,0.0031575489367411,0.0015794740196164,0.0031603483821524,0.0031589480392329,7.129236836233299,0.0063608146236948,0.0063550525613816,0.0062766867079617,0.0062821269318209,2.0372681319713595e-10,1.7148721649587852e-15,187.64151353046967,0.0031575489367411,187.64151353046975,0.0031603483821525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5001466089465991,0.4998533910534009,0.0002932178931983,1.0005921012057697,0.9994191613342782,415799.9999997251,207960.95999985893,207839.0399998671,False,False,False,0.0008260548498198,0.0016516254135156,0.0008260548498198,0.0016525942698498,0.0016521096996397,5.634409556725472,0.003324169943928,0.0033222028636066,0.003284826693282,0.0032867357564934,9.89530235528946e-10,2.379822596271285e-15,343.4736065548733,0.0016516254135156,343.4736065548733,0.0016525942698498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.5000989898989926,0.4999010101010075,0.0001979797979855,1.000398403549283,0.9996064609270844,1108800.0000005362,554509.7600002713,554290.2400002647,False,False,False,0.0005424189256728,0.0010846231178798,0.0005424189256727,0.0010850526698539,0.0010848378513455,5.479538126536688,0.0021801408727101,0.0021792726427544,0.0021594302539283,0.0021602804086776,2.3283064365386963e-10,2.0998434672957886e-16,601.4341047862891,0.0010846231178798,601.4341047862891,0.0010850526698539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.4999855699855519,0.5000144300144481,-2.886002889631082e-05,0.9999436014177954,1.0000590357676669,1995840.0000125077,997891.2000062164,997948.800006289,False,False,False,0.0004057261154056,0.0008114756500219,0.0004057261154056,0.0008114288129522,0.0008114522308112,28.11681976226146,0.001626532008198,0.0016266237474712,0.0016193327005503,0.0016192371076446,1.862645149230957e-09,9.332637632371755e-16,809.7644101762181,0.0008114756500219,809.7644101762182,0.0008114288129522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,11,0.5000067019400352,0.4999932980599649,1.3403880069857124e-05,1.000027758876766,0.9999741412909644,1814399.9999114084,907212.1599557038,907187.8399557072,False,False,False,0.0003445504017898,0.0006890915670789,0.0003445504017898,0.000689110040328,0.0006891008035796,51.41054679602316,0.0013796909392706,0.001379652641663,0.0013767304614088,0.0013767660628018,2.3283064365386963e-09,1.2832376745218146e-15,625.1522489769541,0.0006890915670789,625.1522489769542,0.000689110040328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
