,Unnamed: 0,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.6651945874831653,0.3348054125168889,0.0,complete,False,True,0.5,235.0,27495.0,13747.0,13748.0,pyr,1000.0,,417.7069520950317,11310321.0,2254039.0,9056282.0,130250193.0,418.0038468837738,2024-11-29 05:39:53.329698
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.4995604054613186,0.5004395945386823,-0.0008791890773636,0.9982431664341546,1.0017599254619705,2135661.1999956407,1066891.7749978283,1068769.424997814,False,False,False,348048,173871,174177,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.5008640710307897,0.4991359289692109,0.0017281420615787,1.0034622674131026,0.9965496785225136,371262125.710252,185951859.7027816,185310266.00747055,False,False,False,457717,229254,228463,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5001369327073533,0.4998630672926426,0.0002738654147106,1.0005478808750443,0.9994524191340396,68598555497.77579,34308671134.81273,34289884362.96278,False,False,False,562320,281237,281083,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.4990158791681348,0.5009841208318674,-0.0019682416637326,0.9960712494031458,1.0039442465578725,13149273001967.707,6561696027498.735,6587576974469.003,False,False,False,660488,329594,330894,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.4996923855434582,0.5003076144565441,-0.0006152289130859,0.998770298721609,1.001231215305426,2581168354317394.0,1289790172458140.8,1291378181859259.2,False,False,False,750940,375239,375701,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5001165358341663,0.4998834641658345,0.0002330716683316,1.0004662520067964,0.9995339652828256,5.147629807024606e+17,2.5744147868458435e+17,2.5732150201787664e+17,False,False,False,832362,416278,416084,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.5007953056545554,0.4992046943454385,0.0015906113091168,1.003186290768364,0.9968238294345874,1.0402980733758376e+20,5.209763916280977e+19,5.193216817477336e+19,False,False,False,905941,453691,452250,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.4995897922163499,0.5004102077836404,-0.0008204155672904,0.9983605139253172,1.0016421784033074,2.120752246554939e+22,1.0595061741987394e+22,1.0612460723561793e+22,False,False,False,970240,484722,485518,,,,,,,,,,,,,,,,,,,,,
11,11,11,0.4999682319672429,0.5000317680327558,-6.353606551289683e-05,0.9998729359421246,1.000127080205202,4.3429646211276176e+24,2.171344343121462e+24,2.1716202780061504e+24,False,False,False,1023041,511488,511553,,,,,,,,,,,,,,,,,,,,,
12,12,12,0.499903296191569,0.5000967038084384,-0.0001934076168693,0.9996132595648072,1.0003868900612234,8.928482249775598e+26,4.4633777066507374e+26,4.465104543124927e+26,False,False,False,1065108,532451,532657,,,,,,,,,,,,,,,,,,,,,
13,13,13,0.4999429685724862,0.5000570314275163,-0.0001140628550301,0.999771900307642,1.0002281517336984,1.839473000782319e+29,9.196315926200515e+28,9.198414081622715e+28,False,False,False,1095887,547881,548006,,,,,,,,,,,,,,,,,,,,,
14,14,14,0.5004682328247636,0.4995317671752378,0.0009364656495257,1.0018746868789172,0.99812882099581,3.791707129879236e+31,1.8976289666797172e+31,1.894078163199524e+31,False,False,False,1114830,557937,556893,,,,,,,,,,,,,,,,,,,,,
