,Unnamed: 0,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5011406625284369,0.4988593374715631,0.0,complete,False,True,0.3,10.0,45.0,31.0,14.0,cx,1.0,10.0,True,False,100.0,100.0,0.3980991840362549,48349.0,16855.0,31494.0,130250193.0,0.4081013202667236,2024-11-14 04:50:02.510576
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,1.0,0.0,1.0,,0.0,22.5,22.5,0.0,False,False,True,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.5666666666666667,0.4333333333333334,0.1333333333333333,1.3076923076923077,0.7647058823529413,120.0,67.99999999999999,52.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.523809523809523,0.476190476190477,0.047619047619046,1.0999999999999963,0.909090909090912,630.0,329.9999999999995,300.0000000000005,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5105820105820111,0.4894179894179888,0.0211640211640222,1.0432432432432457,0.9585492227979254,3023.999999999998,1544.000000000001,1479.9999999999975,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.49968253968254,0.5003174603174599,-0.0006349206349198,0.9987309644670064,1.001270648030494,12599.999999999693,6295.999999999851,6303.999999999842,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.4977777777777767,0.5022222222222232,-0.0044444444444465,0.991150442477872,1.0089285714285756,43200.00000000728,21504.000000003576,21696.0000000037,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.4988359788359719,0.5011640211640281,-0.0023280423280561,0.9953547297297022,1.0046669495121194,113399.99999993092,56567.99999996476,56831.99999996617,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.5009523809523867,0.4990476190476133,0.0019047619047734,1.0038167938931528,0.9961977186311558,201600.0000001267,100992.00000006464,100608.00000006206,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5033509700175824,0.4966490299824175,0.0067019400351648,1.0134943181815983,0.9866853538894924,181440.00000118776,91328.000000588,90112.00000059974,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
