,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,0.0,complete,False,False,0.2,1000.0,499500.0,400001.0,99499.0,pyr,1.0,,15.42202353477478,181684517.0,40630866.0,141053651.0,130250193.0,199.0837049484253,2024-11-27 06:16:11.239950
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
3,3,0.574074074074077,0.42592592592592426,0.1481481481481527,1.3478260869565337,0.7419354838709611,168000000.00000033,96444444.44444512,71555555.55555542,False,False,False,1512,868,644,,,,,,,,,,,,,,,,,,,,,
4,4,0.5477611940298532,0.4522388059701486,0.09552238805970467,1.2112211221122184,0.8256130790190686,125625000000.00006,68812500000.00035,56812499999.99995,False,False,False,2010,1101,909,,,,,,,,,,,,,,,,,,,,,
5,5,0.5291026677445431,0.47089733225545855,0.05820533548908457,1.1236051502145876,0.8899923605805995,98960000000001.81,52360000000000.945,46600000000001.03,False,False,False,2474,1309,1165,,,,,,,,,,,,,,,,,,,,,
6,6,0.5289312457454077,0.4710687542545956,0.05786249149081213,1.1228323699422007,0.8906048906048872,8.161111111111294e+16,4.316666666666786e+16,3.844444444444536e+16,False,False,False,2938,1554,1384,,,,,,,,,,,,,,,,,,,,,
7,7,0.5168997668997709,0.4831002331002352,0.03379953379953573,1.0699638118214754,0.9346110484780126,7.0040816326533186e+19,3.620408163265467e+19,3.383673469387894e+19,False,False,False,3432,1774,1658,,,,,,,,,,,,,,,,,,,,,
8,8,0.5197351667939933,0.48026483320600827,0.03947033358798512,1.0821845174973586,0.9240568348848522,6.135937500000105e+22,3.189062500000073e+22,2.9468750000000416e+22,False,False,False,3927,2041,1886,,,,,,,,,,,,,,,,,,,,,
9,9,0.5157390510948888,0.48426094890510707,0.031478102189781705,1.0650023551577974,0.9389650597080922,5.412345679012434e+25,2.791358024691394e+25,2.6209876543210173e+25,False,False,False,4384,2261,2123,,,,,,,,,,,,,,,,,,,,,
