,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.4999624901531181,0.5000375098468819,0.0,complete,False,True,0.5,107.0,5671.0,2835.0,2836.0,cx,1000.0,10.0,False,False,11449.0,11449.0,432.25800681114197,2759429.0,793913.0,1965516.0,130250193.0,432.5080235004425,2024-11-30 04:29:58.123426
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.5034166666666666,0.49658333333333343,0.006833333333333335,1.0306297823968318,1.0022206295602691,119.99999999999999,60.41,59.59,False,False,False,0.044562612007027616,0.044562612007027616,0.08912522401405523,0.18978190682268328,0.1802436299722058,0.0,5.3475134408433185,5.347513440843323,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.4997174603174592,0.5002825396825409,-0.0005650793650811508,1.0017408719866399,1.003845901075653,630.0,314.82199999999995,315.17800000000005,False,False,False,0.018619008105615845,0.01861900810561585,0.037238016211231656,0.07735312357531783,0.07301650077753091,0.0,11.729975106537958,11.729975106537958,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.49968121693121675,0.5003187830687832,-0.0006375661375659477,0.9992660463005587,1.0018335740350934,3023.9999999999995,1511.036,1512.9639999999997,False,False,False,0.0082712602707003,0.008271260270700301,0.01654252054140059,0.03272045626934818,0.0337410813781409,1.3642420526593924e-12,25.012291058597683,25.012291058597665,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.4996955555555552,0.5003044444444448,-0.0006088888888898124,0.9989349603559113,1.0013664806925617,12599.999999999874,6296.163999999937,6303.835999999938,False,False,False,0.0043257310952823005,0.004325731095282301,0.008651462190564606,0.01759625823876154,0.0171038675034202,1.8189894035458565e-10,54.50421180055568,54.504211800555694,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.4999114814814829,0.5000885185185171,-0.000177037037035568,0.9996964838975413,1.000406154334231,43200.000000007436,21596.176000003717,21603.82400000371,False,False,False,0.002529981511233988,0.0025299815112339893,0.005059963022467971,0.009984469377685613,0.010282574007923439,1.6007106751203537e-10,109.2952012853266,109.29520128532671,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.49995837742503496,0.5000416225749651,-8.324514993053384e-05,0.999851213458765,1.0001839812701314,113399.99999992907,56695.279999963765,56704.71999996644,False,False,False,0.0014823074878781023,0.0014823074878781016,0.0029646149757562063,0.0059683726099186065,0.005895509429451372,1.8480932340025902e-09,168.09366912527446,168.0936691252744,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.49997571428571547,0.5000242857142845,-4.857142856983649e-05,0.9999118152471753,1.0001061255995396,201600.00000012666,100795.10400006275,100804.89600006257,False,False,False,0.0010586193868885538,0.0010586193868885566,0.002117238773777109,0.004229066581036913,0.00424029361645559,2.9103830456733704e-11,213.41766839686682,213.41766839686707,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.4999843033509517,0.5000156966490482,-3.139329809684044e-05,0.9999457295975367,1.0000712962762721,181440.00000118997,90717.15200059094,90722.84800059727,False,False,False,0.0010314230791303813,0.001031423079130381,0.002062846158260763,0.004127608149518499,0.004124190663006075,2.2118911147117615e-09,187.14140347864137,187.14140347864148,,,,,,,,,,,,,,,,,,,,,,,,,
