,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.05147459393859715,0.948525406061403,0.0,complete,False,True,0.1,23.0,253.0,228.0,25.0,pyr,1000.0,,4.360986232757568,145035.0,36553.0,108482.0,130250193.0,4.367987871170044,2024-11-14 18:05:15.969953
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
3,3,0.7575345193839622,0.24246548061603854,0.5150690387679236,3.124298425735795,0.32007185733689725,1770.856888888888,1341.4852222222223,429.371666666667,False,False,False,30128,22823,7305,,,,,,,,,,,,,,,,,,,,,
4,4,0.7127787997239833,0.28722120027601616,0.42555759944796717,2.481637146001101,0.4029597967661773,26457.141499993362,18858.089562492856,7599.0519375004915,False,False,False,34792,24799,9993,,,,,,,,,,,,,,,,,,,,,
5,5,0.666082261924638,0.33391773807536135,0.3321645238492767,1.994749562463528,0.5013160643409259,402232.2597599702,267919.7733999795,134312.48635999043,False,False,False,35934,23935,11999,,,,,,,,,,,,,,,,,,,,,
6,6,0.6278042853333583,0.3721957146666426,0.2556085706667158,1.6867584998813105,0.5928530966764747,6032820.051362199,3787430.2808901994,2245389.770472005,False,False,False,33743,21184,12559,,,,,,,,,,,,,,,,,,,,,
7,7,0.5986839838770387,0.40131601612295953,0.1973679677540792,1.4918018714050214,0.6703303026816635,87694647.95923668,52501381.20493024,35193266.75430629,False,False,False,29027,17378,11649,,,,,,,,,,,,,,,,,,,,,
8,8,0.5736926199421196,0.42630738005787994,0.1473852398842397,1.3457252836303917,0.7430937147158883,1231961607.440079,706767282.240404,525194325.1996744,False,False,False,23157,13285,9872,,,,,,,,,,,,,,,,,,,,,
9,9,0.5613248733919545,0.438675126608046,0.12264974678390848,1.2795912951168882,0.7814995333401763,16608696495.583946,9322874457.589056,7285822037.994897,False,False,False,17179,9643,7536,,,,,,,,,,,,,,,,,,,,,
10,10,0.5497493414903523,0.4502506585096484,0.09949868298070386,1.2209850915266829,0.8190108191653923,211977656727.55762,116534577196.64275,95443079530.91502,False,False,False,11769,6470,5299,,,,,,,,,,,,,,,,,,,,,
11,11,0.5389619189592145,0.461038081040788,0.07792383791842653,1.169018224573802,0.8554186572793404,2526332448310.148,1361596984270.168,1164735464039.9863,False,False,False,7379,3977,3402,,,,,,,,,,,,,,,,,,,,,
12,12,0.5270565396748381,0.4729434603251634,0.0541130793496747,1.1144176500769676,0.8973296500920771,27267562585856.61,14371547181868.664,12896015403987.984,False,False,False,4121,2172,1949,,,,,,,,,,,,,,,,,,,,,
13,13,0.5297951582867784,0.4702048417132228,0.05959031657355557,1.1267326732673237,0.887521968365556,278536173254314.6,147567115997863.12,130969057256451.8,False,False,False,2148,1138,1010,,,,,,,,,,,,,,,,,,,,,
14,14,0.5030364372469645,0.49696356275303616,0.006072874493928239,1.0122199592668046,0.9879275653923519,2540754722414460.5,1278092203481770.2,1262662518932691.8,False,False,False,988,497,491,,,,,,,,,,,,,,,,,,,,,
15,15,0.4790123456790113,0.5209876543209881,-0.04197530864197682,0.9194312796208503,1.0876288659793847,2.086710538417e+16,9995601097602398.0,1.087150428656759e+16,False,False,False,405,194,211,,,,,,,,,,,,,,,,,,,,,
16,16,0.46202531645569656,0.5379746835443044,-0.07594936708860786,0.8588235294117643,1.164383561643836,1.6456393438818013e+17,7.60327038628934e+16,8.853123052528688e+16,False,False,False,158,73,85,,,,,,,,,,,,,,,,,,,,,
17,17,0.4285714285714277,0.571428571428571,-0.1428571428571432,0.7499999999999991,1.3333333333333348,1.1883258936959834e+18,5.092825258697061e+17,6.790433678262756e+17,False,False,False,56,24,32,,,,,,,,,,,,,,,,,,,,,
18,18,0.23076923076923075,0.7692307692307696,-0.5384615384615389,0.2999999999999998,3.3333333333333353,5.659415167557491e+18,1.3060188848209592e+18,4.3533962827365335e+18,False,False,False,13,3,10,,,,,,,,,,,,,,,,,,,,,
19,19,0.5,0.5,0.0,1.0,1.0,1.797313523487686e+19,8.98656761743843e+18,8.98656761743843e+18,False,False,False,2,1,1,,,,,,,,,,,,,,,,,,,,,
20,20,0.0,1.0,-1.0,0.0,,1.865386773189768e+20,0.0,1.865386773189768e+20,False,True,False,1,0,1,,,,,,,,,,,,,,,,,,,,,
21,21,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
22,22,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
23,23,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
