,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5015579013248129,0.49844209867518713,0.0,complete,False,False,0.2,10000.0,49995000.0,39994485.0,10000515.0,cx,1.0,10.0,False,False,100000000.0,100000000.0,2.5939247608184814,13550646483.0,191972.0,13550454511.0,130250193.0,18644.81308031082,2024-11-27 12:01:40.064146
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1.0,0.0,1.0,,0.0,22.5,22.5,0.0,False,False,True,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.48333333333333334,0.5166666666666667,-0.033333333333333326,0.9354838709677419,1.0689655172413792,119.99999999999999,57.99999999999999,61.99999999999999,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.5142857142857133,0.4857142857142866,0.028571428571426746,1.058823529411761,0.9444444444444479,630.0,323.99999999999943,306.00000000000057,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.5066137566137571,0.49338624338624293,0.013227513227514157,1.0268096514745326,0.9738903394255857,3023.999999999998,1532.0000000000005,1491.9999999999977,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.5000000000000003,0.4999999999999997,5.563098482756793e-16,1.000000000000001,0.9999999999999989,12599.999999999693,6299.99999999985,6299.999999999843,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.5018518518518528,0.4981481481481473,0.0037037037037053982,1.0074349442379218,0.9926199261992585,43200.000000007276,21680.00000000369,21520.000000003587,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.5023633156966423,0.49763668430335767,0.00472663139328463,1.0094981570739734,0.9905912090998721,113399.99999993092,56967.99999996454,56431.999999966385,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5023809523809593,0.49761904761904074,0.00476190476191847,1.0095693779904584,0.9905213270141907,201600.0000001267,101280.00000006503,100320.00000006166,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.49999999999997496,0.500000000000025,-5.003633793519272e-14,0.9999999999998999,1.0000000000001001,181440.00000118776,90720.00000058934,90720.00000059842,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
