,Unnamed: 0,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5000520346609898,0.4999479653390101,0.0,complete,False,True,0.5,109.0,5886.0,2943.0,2943.0,cx,1000.0,10.0,False,False,11881.0,11881.0,434.62313961982727,2823164.0,793968.0,2029196.0,130250193.0,434.8887827396393,2024-11-29 23:11:26.112400
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.4970833333333327,0.5029166666666671,-0.0058333333333333,1.0051493157453204,1.0292099715625729,120.0,59.64999999999999,60.35,False,False,False,0.0455533112590805,0.0455533112590805,0.0911066225181611,0.1871438915141262,0.192774438102043,0.0,5.466397351089645,5.466397351089651,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4997619047619055,0.5002380952380945,-0.0004761904761922,1.00235970979085,1.0039254412874572,630.0,314.85,315.15000000000003,False,False,False,0.0196877553253428,0.0196877553253428,0.0393755106506857,0.0846656474296439,0.075697359109567,0.0,12.403285854966008,12.403285854966008,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.499876984126984,0.500123015873016,-0.0002460317460314,1.0002624407649097,1.0012205895802255,3023.9999999999995,1511.628,1512.3719999999998,False,False,False,0.0095839107986726,0.0095839107986726,0.0191678215973453,0.0395822175454335,0.0381135118651835,1.3642420526593924e-12,28.98174625518622,28.98174625518622,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.500008571428571,0.499991428571429,1.714285714202594e-05,1.000251583422039,1.0001637915412458,12599.999999999874,6300.107999999937,6299.891999999939,False,False,False,0.0050762914410679,0.0050762914410679,0.0101525828821358,0.0214719792453404,0.0195507023612252,1.8189894035458562e-10,63.96127215745411,63.96127215745409,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.499992222222223,0.5000077777777769,-1.5555555553921178e-05,1.0000430389366848,1.0000976144244065,43200.00000000744,21599.66400000372,21600.33600000371,False,False,False,0.0029545379989737,0.0029545379989737,0.0059090759979475,0.0125773255181798,0.0112739635528862,1.6007106751203534e-10,127.63604155568775,127.6360415556879,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5000311816578384,0.4999688183421615,6.236331567811584e-05,1.0001613445541362,0.9999079953756684,113399.99999992907,56703.53599996371,56696.46399996635,False,False,False,0.0020757490459182,0.0020757490459182,0.0041514980918364,0.008829435360738,0.007889234693562,1.8480932340025902e-09,235.3899418069815,235.3899418069813,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.5000566666666665,0.4999433333333335,0.0001133333333336,1.0002489604265956,0.9997935772184412,201600.00000012663,100811.42400006276,100788.57600006244,False,False,False,0.0016263572233977,0.0016263572233977,0.0032527144467954,0.0068509416966854,0.0062211087528832,2.9103830456733704e-11,327.87361623718687,327.87361623718675,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5000830687830495,0.4999169312169504,0.0001661375660994,1.0003510245689484,0.9996854491739524,181440.00000119,90735.0720005909,90704.92800059718,False,False,False,0.0015062302402323,0.0015062302402323,0.0030124604804646,0.006207761837556,0.0058689549988128,2.211891114711761e-09,273.2904147895412,273.290414789541,,,,,,,,,,,,,,,,,,,,,,,,,
