,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5000010719154484,0.49999892808455154,0.0,complete,False,True,0.5,150.0,11175.0,5587.0,5588.0,cx,1000.0,10.0,False,False,22500.0,22500.0,436.6541705131531,4350914.0,793968.0,3556946.0,130250193.0,436.9666922092438,2024-11-30 04:07:59.590493
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.4996166666666663,0.5003833333333336,-0.0007666666666666653,1.0155908509002871,1.0180933517667776,119.99999999999999,59.95399999999999,60.046,False,False,False,0.045137047483808014,0.04513704748380809,0.0902740949676162,0.19303564171631454,0.18516669247581097,0.0,5.4164456980569735,5.4164456980569815,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.4989492063492066,0.5010507936507934,-0.0021015873015890873,0.9990186352896626,1.0071382653043872,630.0,314.33799999999997,315.66200000000003,False,False,False,0.01945553658355623,0.01945553658355623,0.03891107316711247,0.08337254617852748,0.0752914569075335,0.0,12.256988047640421,12.256988047640421,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.49978439153439125,0.5002156084656088,-0.00043121693121669593,0.9998588165639435,1.0015387877708732,3023.9999999999995,1511.348,1512.652,False,False,False,0.009304164635465269,0.00930416463546527,0.018608329270930556,0.038946428373302644,0.0364042898451055,1.3642420526593924e-12,28.135793857646988,28.135793857647013,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.4998682539682539,0.500131746031746,-0.0002634920634928896,0.9996548713992075,1.0006997894780765,12599.999999999874,6298.3399999999365,6301.65999999994,False,False,False,0.004697434207419151,0.00469743420741915,0.009394868414838308,0.019382216438763457,0.01839685894766957,1.8189894035458565e-10,59.18767101347989,59.18767101347986,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.5000174074074075,0.4999825925925924,3.481481481634095e-05,1.000118253150992,0.9999778471550315,43200.000000007436,21600.75200000372,21599.248000003707,False,False,False,0.0024497358834147352,0.002449735883414734,0.004899471766829467,0.00992676760892673,0.009692835691261923,1.6007106751203537e-10,105.82859016353432,105.82859016353419,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.4999761552028129,0.5000238447971871,-4.768959437449181e-05,0.9999201586576595,1.000110821702994,113399.99999992907,56697.295999963775,56702.703999966405,False,False,False,0.001391216279695832,0.0013912162796958325,0.0027824325593916632,0.005583177470972058,0.005548365607994032,1.8480932340025902e-09,157.76392611741122,157.76392611741127,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.5000319047619056,0.4999680952380944,6.380952381106421e-05,1.0001369988809916,0.9998817391505288,201600.00000012666,100806.43200006273,100793.56800006257,False,False,False,0.0010816805113551874,0.0010816805113551859,0.002163361022710374,0.00433185914191169,0.00432240576215746,2.9103830456733704e-11,218.06679108934284,218.06679108934276,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,0.49999523809522156,0.5000047619047784,-9.52380955717286e-06,0.999991025391278,1.0000291084634707,181440.00000118997,90719.13600059139,90720.86400059705,False,False,False,0.0011217301553381861,0.0011217301553381864,0.002243460310676374,0.004490008800141037,0.0044845004540808924,2.2118911147117615e-09,203.526719385893,203.52671938589302,,,,,,,,,,,,,,,,,,,,,,,,,
