,Unnamed: 0,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5000168918709896,0.4999831081290103,0.0,complete,False,True,0.3,26.0,325.0,227.0,98.0,cx,1.0,10.0,True,False,676.0,676.0,2849.638400793076,159586.0,27004.0,132582.0,130250193.0,2849.6514036655426,2024-11-14 02:17:51.140654
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,1.0,0.0,1.0,,0.0,162.5,162.5,0.0,False,False,True,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.5215384615384615,0.4784615384615384,0.043076923076923,1.090032154340836,0.9174041297935104,2599.9999999999995,1355.9999999999998,1243.9999999999998,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.5092976588628763,0.4907023411371237,0.0185953177257525,1.0378953107960742,0.9634883110060416,44850.0,22842.0,22008.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5033850207763251,0.4966149792236748,0.0067700415526502,1.0136323748494929,0.986550967404216,789359.9999999999,397352.0,392008.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.5012801691062552,0.4987198308937448,0.0025603382125104,1.0051338207424438,0.9948924007564964,13813800.0,6924583.999999988,6889216.000000012,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5004540387149087,0.4995459612850913,0.0009080774298173,1.0018178055678426,0.9981854928533516,236808000.0,118511520.00000007,118296479.99999993,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.500144771577255,0.499855228422745,0.00028954315451,1.0005792540280587,0.9994210813129228,3936933000.0,1969036455.999957,1967896544.000043,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.5000460642840576,0.4999539357159424,9.212856811525884e-05,1.0001842741131408,0.9998157598375518,62990928000.0,31498365632.000446,31492562367.999557,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.500014333940818,0.4999856660591821,2.866788163584724e-05,1.0000573374070136,0.9999426658803762,963761198383.65,481894413687.8052,481866784695.8447,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
