,Unnamed: 0,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.7586541734599463,0.2413458265400592,0.0,complete,False,True,0.3,30.0,435.0,305.0,130.0,pyr,1000.0,,7.085896015167236,223785.0,63055.0,160730.0,130250193.0,7.126905679702759,2024-11-14 18:03:33.033517
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.5273172662938823,0.4726827337061183,0.054634532587764,1.1155839396954408,0.8963915348880017,4041.400000000703,2131.100000000467,1910.300000000239,False,False,False,40414,21311,19103,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.5125868502979027,0.4874131497020972,0.0251737005958054,1.0516475614398,0.9508889067654094,81848.81250001625,41954.62500000694,39894.18750000931,False,False,False,48503,24862,23641,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.506121594089758,0.493878405910242,0.012243188179516,1.0247898835685096,0.9758097889469922,1701615.599999823,861224.3999999104,840391.1999999125,False,False,False,52519,26581,25938,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.4986048630488007,0.501395136951199,-0.0027902739023983,0.9944349801249271,1.0055961626313403,35561025.000015855,17730900.000007883,17830125.00000796,False,False,False,52683,26268,26415,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5037750055963623,0.4962249944036394,0.0075500111927229,1.0152148950130908,0.9850131286609082,731067979.5917919,368293775.5101762,362774204.0816169,False,False,False,49139,24755,24384,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.4991886879925825,0.500811312007417,-0.0016226240148345,0.996760009257118,1.003250522405385,14741746874.995108,7358913281.24756,7382833593.74754,False,False,False,43140,21535,21605,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.4980519662527638,0.5019480337472344,-0.0038960674944705,0.992238105874457,1.0078226124148926,288983699999.9641,143928899999.98096,145054799999.98264,False,False,False,35677,17769,17908,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.4952007765035786,0.5047992234964196,-0.009598446992841,0.9809856145848268,1.0193829401088823,5475220109999.487,2711333249999.755,2763886859999.722,False,False,False,27817,13775,14042,,,,,,,,,,,,,,,,,,,,,
11,11,11,0.5025542784163468,0.4974457215836511,0.0051085568326957,1.0102695763799765,0.9898348157560336,99348722479323.95,49928125537182.56,49420596942141.21,False,False,False,20358,10231,10127,,,,,,,,,,,,,,,,,,,,,
