,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,0.2565031027466215,0.7434968972534154,0.0,complete,False,True,0.5,367.0,67161.0,33581.0,33580.0,pyr,1000.0,,1050.7915031909943,28997011.0,5465685.0,23531326.0,130250193.0,1051.447803735733,2024-11-29 13:39:40.398344
1,1,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,0.0,0.0,0.0,True,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,
3,3,0.49873522445646795,0.5012647755435324,-0.00252955108706447,0.9949536627936371,1.005071931884942,8176250.848699583,4077784.302238573,4098466.5464610127,False,False,False,546342,272480,273862,,,,,,,,,,,,,,,,,,,,,
4,4,0.49998340432593974,0.5000165956740618,-3.3191348122053585e-05,0.999933619507014,1.0000663848996485,2233904276.1436434,1116915064.924573,1116989211.2190738,False,False,False,723080,361528,361552,,,,,,,,,,,,,,,,,,,,,
5,5,0.4990812369916339,0.5009187630083652,-0.0018375260167313343,0.9963316885842013,1.0036818174688504,648826104921.9181,323816935036.89453,325009169885.023,False,False,False,894137,446247,447890,,,,,,,,,,,,,,,,,,,,,
6,6,0.49989183286145933,0.5001081671385417,-0.0002163342770823679,0.9995674250266294,1.0004327621754572,195766315087129.1,97861982061438.92,97904333025690.38,False,False,False,1058547,529159,529388,,,,,,,,,,,,,,,,,,,,,
7,7,0.500030049536456,0.49996995046354525,6.009907291076287e-05,1.0001202053700529,0.9998798090775415,6.056969586777263e+16,3.0286668025170424e+16,3.0283027842602284e+16,False,False,False,1214661,607367,607294,,,,,,,,,,,,,,,,,,,,,
8,8,0.4998868863031049,0.5001131136968952,-0.00022622739379024695,0.999547647546936,1.0004525571684093,1.9076030140690067e+19,9.535857310053738e+18,9.54017283063633e+18,False,False,False,1361462,680577,680885,,,,,,,,,,,,,,,,,,,,,
9,9,0.4996543384037143,0.5003456615962879,-0.0006913231925735597,0.9986183088100175,1.0013836029019225,6.082788525729071e+21,3.039291676472864e+21,3.0434968492562207e+21,False,False,False,1497129,748047,749082,,,,,,,,,,,,,,,,,,,,,
10,10,0.5007423797267495,0.4992576202732575,0.0014847594534920501,1.0029739344843238,0.9970348835776547,1.9563815561420996e+24,9.796431560761164e+23,9.767384000659969e+23,False,False,False,1619791,811098,808693,,,,,,,,,,,,,,,,,,,,,
11,11,0.49967661483064846,0.5003233851693567,-0.0006467703387083152,0.9987072954055718,1.0012943778426122,6.338044207385407e+26,3.1669724741933406e+26,3.1710717331920996e+26,False,False,False,1730135,864508,865627,,,,,,,,,,,,,,,,,,,,,
12,12,0.4998442170579248,0.5001557829420744,-0.0003115658841496055,0.9993770623178305,1.0006233259754078,2.0631299510380678e+29,1.0312435750653778e+29,1.0318863759726885e+29,False,False,False,1826259,912845,913414,,,,,,,,,,,,,,,,,,,,,
13,13,0.49973329372832004,0.5002667062716742,-0.0005334125433542034,0.9989337436677936,1.0010673944482957,6.755274700609263e+31,3.375835676175058e+31,3.3794390244341664e+31,False,False,False,1912216,955598,956618,,,,,,,,,,,,,,,,,,,,,
14,14,0.49984864274600777,0.5001513572539926,-0.00030271450798483176,0.9993947542007147,1.0006056123436122,2.2194430227289386e+34,1.1093855825631568e+34,1.1100574401657825e+34,False,False,False,1985369,992384,992985,,,,,,,,,,,,,,,,,,,,,
15,15,0.49973475811700524,0.5002652418829949,-0.0005304837659896757,0.9989395949956609,1.0010615306567598,7.316444938955877e+36,3.6562818418455024e+36,3.660163097110376e+36,False,False,False,2047188,1023051,1024137,,,,,,,,,,,,,,,,,,,,,
16,16,0.4997684258826986,0.5002315741172991,-0.00046314823460054784,0.9990741323447689,1.000926725680564,2.4168528843367082e+39,1.2078667615950164e+39,1.2089861227416862e+39,False,False,False,2096521,1047775,1048746,,,,,,,,,,,,,,,,,,,,,
17,17,0.4999828700664075,0.500017129933596,-3.4259867188526105e-05,0.9999314826130196,1.0000685220819345,7.985394388893058e+41,3.9925604051709375e+41,3.992833983722149e+41,False,False,False,2130773,1065350,1065423,,,,,,,,,,,,,,,,,,,,,
18,18,0.499963488932496,0.500036511067502,-7.302213500601554e-05,0.9998539663936736,1.0001460549352552,2.6376866900354455e+44,1.3187470402609284e+44,1.3189396497745118e+44,False,False,False,2150033,1074938,1075095,,,,,,,,,,,,,,,,,,,,,
19,19,0.4998949059791244,0.5001050940208839,-0.00021018804175945021,0.999579712255939,1.0004204644601205,8.709077447553444e+46,4.3536234518096417e+46,4.3554539957438743e+46,False,False,False,2155213,1077380,1077833,,,,,,,,,,,,,,,,,,,,,
20,20,0.5002544964924047,0.49974550350758984,0.000508992984814872,1.0010185043812148,0.998982531914488,2.876740944700856e+49,1.4391025928304113e+49,1.437638351870429e+49,False,False,False,2149342,1075218,1074124,,,,,,,,,,,,,,,,,,,,,
21,21,0.5002566969780339,0.4997433030219693,0.0005133939560645923,1.0010273153296103,0.998973738964084,9.502679089297591e+51,4.7537788536542444e+51,4.7489002356433776e+51,False,False,False,2132865,1066980,1065885,,,,,,,,,,,,,,,,,,,,,
22,22,0.4997054435924417,0.5002945564075703,-0.0005891128151285777,0.9988224680688937,1.0011789201472239,3.1359216445076504e+54,1.5670371164398347e+54,1.5688845280678532e+54,False,False,False,2104860,1051810,1053050,,,,,,,,,,,,,,,,,,,,,
23,23,0.49976367046617126,0.5002363295338316,-0.00047265906766028916,0.9990551284667774,1.0009457651597993,1.0340566008094326e+57,5.167839222902945e+56,5.17272678519141e+56,False,False,False,2067029,1033026,1034003,,,,,,,,,,,,,,,,,,,,,
24,24,0.500247801197159,0.4997521988028321,0.0004956023943268518,1.0009916962757024,0.999009286211472,3.40903390093388e+59,1.705361713148747e+59,1.7036721877851028e+59,False,False,False,2021782,1011392,1010390,,,,,,,,,,,,,,,,,,,,,
25,25,0.5004868940126296,0.49951310598736365,0.0009737880252659774,1.001949474425383,0.9980543186306865,1.1221130153597623e+62,5.616028577885536e+61,5.605101575712012e+61,False,False,False,1967574,984745,982829,,,,,,,,,,,,,,,,,,,,,
26,26,0.5000186274360596,0.4999813725639359,3.7254872123755476e-05,1.000074512520202,0.9999254930315,3.6879088798397635e+64,1.8440231362067346e+64,1.8438857436330122e+64,False,False,False,1905791,952931,952860,,,,,,,,,,,,,,,,,,,,,
27,27,0.4995567887548499,0.5004432112451508,-0.0008864224903009625,0.9982287251172907,1.0017744178645043,1.2094941617403465e+67,6.042110194567465e+66,6.052831422836008e+66,False,False,False,1836596,917484,919112,,,,,,,,,,,,,,,,,,,,,
28,28,0.49994842901168357,0.5000515709883149,-0.00010314197663131509,0.9997937373210778,1.000206305231992,3.965551643271568e+69,1.9825713142183207e+69,1.9829803290532413e+69,False,False,False,1764558,882188,882370,,,,,,,,,,,,,,,,,,,,,
29,29,0.5002068525913355,0.49979314740865266,0.00041370518268277185,1.0008277528109935,0.9991729317970365,1.2990923264704559e+72,6.498148838493423e+71,6.492774426210981e+71,False,False,False,1689609,845154,844455,,,,,,,,,,,,,,,,,,,,,
30,30,0.49940516065004265,0.5005948393499561,-0.001189678699913418,0.997623469907404,1.0023821914422448,4.251011410497965e+74,2.1229770363849007e+74,2.128034374113059e+74,False,False,False,1612200,805141,807059,,,,,,,,,,,,,,,,,,,,,
31,31,0.500176850930978,0.49982314906900704,0.00035370186197091375,1.0007076540224873,0.9992928463976041,1.388738515295607e+77,6.946148573471185e+76,6.941236579484677e+76,False,False,False,1532364,766453,765911,,,,,,,,,,,,,,,,,,,,,
32,32,0.49945830239559436,0.5005416976043938,-0.0010833952087994756,0.9978355545322505,1.002169140453974,4.523356080776234e+79,2.259227749235287e+79,2.2641283315408938e+79,False,False,False,1449148,723789,725359,,,,,,,,,,,,,,,,,,,,,
33,33,0.5000424211040732,0.49995757889593617,8.484220813696025e-05,1.000169698813896,0.9998303299789053,1.4727607536730652e+82,7.36442852973739e+81,7.363179006993399e+81,False,False,False,1367244,683680,683564,,,,,,,,,,,,,,,,,,,,,
34,34,0.49997044783964206,0.5000295521603391,-5.910432069703894e-05,0.9998817983448345,1.0001182156284485,4.788689171640125e+84,2.394203069709758e+84,2.394486101930277e+84,False,False,False,1285862,642893,642969,,,,,,,,,,,,,,,,,,,,,
35,35,0.4994959576969852,0.5005040423030095,-0.0010080846060242698,0.9979858612102598,1.0020182037321628,1.5532157999594364e+87,7.758250135108276e+86,7.773907864486004e+86,False,False,False,1204264,601525,602739,,,,,,,,,,,,,,,,,,,,,
36,36,0.5000720889417448,0.4999279110582756,0.00014417788346915154,1.0002883973474574,0.9997116858015926,5.027170513478495e+89,2.5139476601415348e+89,2.513222853337063e+89,False,False,False,1123612,561887,561725,,,,,,,,,,,,,,,,,,,,,
37,37,0.4998357422868431,0.5001642577131669,-0.0003285154263238035,0.999343184921238,1.0006572467683499,1.6229801834414817e+92,8.112235047073098e+91,8.117566787341881e+91,False,False,False,1044091,521874,522217,,,,,,,,,,,,,,,,,,,,,
38,38,0.49970682720975407,0.5002931727902713,-0.0005863455805172,0.998827996038309,1.001173379166723,5.2392830749761e+94,2.618105522250071e+94,2.6211775527261617e+94,False,False,False,968712,484072,484640,,,,,,,,,,,,,,,,,,,,,
39,39,0.4992916969467668,0.5007083030532437,-0.0014166061064769145,0.9971707956551975,1.0028372314523546,1.6880827814552368e+97,8.428457165394032e+96,8.452370649158512e+96,False,False,False,895803,447267,448536,,,,,,,,,,,,,,,,,,,,,
40,40,0.500367132994236,0.49963286700576304,0.0007342659884729523,1.0014696110623653,0.9985325455249647,5.425949349833451e+99,2.714966719948103e+99,2.710982629885343e+99,False,False,False,825314,412960,412354,,,,,,,,,,,,,,,,,,,,,
41,41,0.49957223423315805,0.5004277657668366,-0.0008555315336785691,0.9982903995497381,1.0017125281892254,1.7367732269116756e+102,8.676436813245973e+101,8.69129545587069e+101,False,False,False,756255,377804,378451,,,,,,,,,,,,,,,,,,,,,
42,42,0.5003899450604387,0.4996100549395542,0.000779890120884466,1.0015609976484137,0.9984414352674688,5.550925513863008e+104,2.7776273129164977e+104,2.7732982009464704e+104,False,False,False,691123,345831,345292,,,,,,,,,,,,,,,,,,,,,
43,43,0.5000930673568972,0.4999069326430903,0.00018613471380686628,1.0003723387327772,0.9996277998517543,1.7676499826348582e+107,8.839895018292323e+106,8.836604808056038e+106,False,False,False,628577,314347,314230,,,,,,,,,,,,,,,,,,,,,
44,44,0.49998594632197774,0.5000140536780208,-2.8107356043010437e-05,0.9999437868679165,1.0000562162921773,5.6109370647005106e+109,2.8053896780473447e+109,2.805547386653157e+109,False,False,False,569246,284615,284631,,,,,,,,,,,,,,,,,,,,,
