,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.4986790170613609,0.501320982938639,0.0,complete,False,True,0.7,9.0,36.0,11.0,25.0,cx,1.0,10.0,True,False,81.0,81.0,0.1850414276123047,44257.0,15513.0,28744.0,130250193.0,0.19404387474060059,2024-11-13 21:15:45.014650
1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1.0,0.0,1.0,,0.0,18.0,18.0,0.0,False,False,True,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0.44047619047619047,0.5595238095238095,-0.119047619047619,0.7872340425531914,1.2702702702702704,83.99999999999999,36.99999999999999,46.99999999999999,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0.5291005291005285,0.4708994708994715,0.058201058201057074,1.1235955056179747,0.8900000000000021,378.0,199.99999999999977,178.00000000000023,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0.5066137566137572,0.4933862433862429,0.013227513227514249,1.026809651474533,0.9738903394255853,1511.9999999999977,765.9999999999997,745.9999999999981,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0.4968253968253996,0.5031746031746004,-0.006349206349200734,0.9873817034700425,1.0127795527156436,5039.999999999986,2504.0000000000073,2535.999999999979,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0.506790123456789,0.493209876543211,0.013580246913577884,1.0275344180225234,0.973203410475035,12960.00000000223,6568.000000001115,6392.000000001115,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0.49276895943560367,0.5072310405643963,-0.014462081128792704,0.9714881780249476,1.029348604151846,22679.99999998603,11175.999999992608,11503.999999993423,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,0.49920634920634094,0.5007936507936591,-0.0015873015873180882,0.9968304278922016,1.003179650238507,20160.00000000968,10064.000000004666,10096.000000005015,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
